NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,918,2015,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010129,     11.50,      0.00,     11.50,      5.75,0,1,0,1,2,2
H4,918,2015,010130,      7.70,      7.70,      7.70,      7.70,0,0,0,1,1,1
H4,918,2015,010190,     10.90,     10.90,     10.90,     10.90,0,0,0,1,1,1
H4,918,2015,010221,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H4,918,2015,010229,      0.00,      0.00,      0.00,      0.00,41,1,0,0,1,42
H4,918,2015,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010239,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2015,010290,      0.00,      0.00,      0.00,      0.00,2,2,0,0,2,4
H4,918,2015,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H4,918,2015,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2015,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2015,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H4,918,2015,010511,,,,,4,0,0,0,0,4
H4,918,2015,010512,,,,,1,0,0,0,0,1
H4,918,2015,010513,,,,,1,0,0,0,0,1
H4,918,2015,010514,,,,,1,0,0,0,0,1
H4,918,2015,010515,,,,,1,0,0,0,0,1
H4,918,2015,010594,,,,,1,0,0,0,0,1
H4,918,2015,010599,,,,,4,0,0,0,0,4
H4,918,2015,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010614,      3.80,      0.00,      3.80,      1.90,0,1,0,1,2,2
H4,918,2015,010619,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010633,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010639,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H4,918,2015,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2015,020110,,,,,3,0,0,0,0,3
H4,918,2015,020120,,,,,11,0,0,0,0,11
H4,918,2015,020130,,,,,3,0,0,0,0,3
H4,918,2015,020210,,,,,2,0,0,0,0,2
H4,918,2015,020220,,,,,11,0,0,0,0,11
H4,918,2015,020230,,,,,19,0,0,0,0,19
H4,918,2015,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H4,918,2015,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
