NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H1,918,1996,010111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,1996,010119,     18.50,      2.70,     15.80,      9.25,0,0,0,2,2,2
H1,918,1996,010120,     25.60,     10.60,     15.00,     12.80,0,0,0,2,2,2
H1,918,1996,010210,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H1,918,1996,010290,      0.00,      0.00,      0.00,      0.00,42,1,0,0,1,43
H1,918,1996,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,1996,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H1,918,1996,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,1996,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,1996,010420,      4.40,      4.40,      4.40,      4.40,1,0,0,1,1,2
H1,918,1996,010511,,,,,4,0,0,0,0,4
H1,918,1996,010512,,,,,1,0,0,0,0,1
H1,918,1996,010519,,,,,2,0,0,0,0,2
H1,918,1996,010592,,,,,1,0,0,0,0,1
H1,918,1996,010593,,,,,1,0,0,0,0,1
H1,918,1996,010599,,,,,4,0,0,0,0,4
H1,918,1996,010600,     14.10,      0.00,      8.80,      4.70,0,1,0,2,3,3
H1,918,1996,020110,,,,,3,0,0,0,0,3
H1,918,1996,020120,,,,,11,0,0,0,0,11
H1,918,1996,020130,,,,,2,0,0,0,0,2
H1,918,1996,020210,,,,,2,0,0,0,0,2
H1,918,1996,020220,,,,,9,0,0,0,0,9
H1,918,1996,020230,,,,,10,0,0,0,0,10
H1,918,1996,020311,      2.00,      2.00,      2.00,      2.00,1,0,0,1,1,2
H1,918,1996,020312,      2.00,      2.00,      2.00,      2.00,2,0,0,1,1,3
H1,918,1996,020319,      2.00,      2.00,      2.00,      2.00,9,0,0,1,1,10
H1,918,1996,020321,      2.00,      2.00,      2.00,      2.00,1,0,0,1,1,2
H1,918,1996,020322,      2.00,      2.00,      2.00,      2.00,2,0,0,1,1,3
H1,918,1996,020329,      2.00,      2.00,      2.00,      2.00,9,0,0,1,1,10
H1,918,1996,020410,,,,,2,0,0,0,0,2
H1,918,1996,020421,,,,,2,0,0,0,0,2
H1,918,1996,020422,,,,,8,0,0,0,0,8
H1,918,1996,020423,,,,,2,0,0,0,0,2
H1,918,1996,020430,,,,,2,0,0,0,0,2
H1,918,1996,020441,,,,,2,0,0,0,0,2
H1,918,1996,020442,,,,,8,0,0,0,0,8
H1,918,1996,020443,,,,,4,0,0,0,0,4
H1,918,1996,020450,,,,,12,0,0,0,0,12
H1,918,1996,020500,     21.00,      7.00,      7.00,      7.00,0,0,0,3,3,3
H1,918,1996,020610,      7.40,      0.00,      4.70,      2.47,2,1,0,2,3,5
H1,918,1996,020621,      2.70,      2.70,      2.70,      2.70,0,0,0,1,1,1
H1,918,1996,020622,      4.70,      0.00,      4.70,      2.35,0,1,0,1,2,2
H1,918,1996,020629,      2.70,      0.00,      2.70,      1.35,8,1,0,1,2,10
H1,918,1996,020630,      9.40,      0.00,      4.70,      2.35,0,1,0,3,4,4
H1,918,1996,020641,      6.70,      0.00,      4.70,      2.23,0,1,0,2,3,3
H1,918,1996,020649,      4.70,      0.00,      2.70,      1.57,0,1,0,2,3,3
H1,918,1996,020680,     10.80,      0.00,      8.80,      3.60,0,1,0,2,3,3
H1,918,1996,020690,     10.80,      0.00,      8.80,      3.60,0,1,0,2,3,3
H1,918,1996,020711,,,,,3,0,0,0,0,3
H1,918,1996,020712,,,,,2,0,0,0,0,2
H1,918,1996,020713,      8.80,      8.80,      8.80,      8.80,8,0,0,1,1,9
H1,918,1996,020714,      8.80,      8.80,      8.80,      8.80,8,0,0,1,1,9
H1,918,1996,020724,,,,,2,0,0,0,0,2
H1,918,1996,020725,,,,,2,0,0,0,0,2
H1,918,1996,020726,      8.80,      8.80,      8.80,      8.80,9,0,0,1,1,10
H1,918,1996,020727,      8.80,      8.80,      8.80,      8.80,9,0,0,1,1,10
H1,918,1996,020732,,,,,6,0,0,0,0,6
H1,918,1996,020733,,,,,5,0,0,0,0,5
H1,918,1996,020734,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H1,918,1996,020735,      8.80,      8.80,      8.80,      8.80,21,0,0,1,1,22
H1,918,1996,020736,     12.80,      2.00,      8.80,      4.27,21,0,0,3,3,24
H1,918,1996,020810,     19.60,      2.00,      8.80,      6.53,0,0,0,3,3,3
H1,918,1996,020820,      8.80,      8.80,      8.80,      8.80,0,0,0,1,1,1
H1,918,1996,020890,     55.00,      2.00,     12.30,      7.86,0,0,0,7,7,7
H1,918,1996,020900,,,,,4,0,0,0,0,4
H1,918,1996,021011,     21.10,     21.10,     21.10,     21.10,5,0,0,1,1,6
H1,918,1996,021012,     21.10,     21.10,     21.10,     21.10,3,0,0,1,1,4
H1,918,1996,021019,     21.10,     21.10,     21.10,     21.10,11,0,0,1,1,12
H1,918,1996,021020,,,,,2,0,0,0,0,2
H1,918,1996,021090,    184.90,      2.00,     21.10,     16.81,13,0,0,11,11,24
H1,918,1996,030110,     10.50,      0.00,     10.50,      5.25,0,1,0,1,2,2
H1,918,1996,030191,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H1,918,1996,030192,      2.40,      1.20,      1.20,      1.20,0,0,0,2,2,2
H1,918,1996,030193,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H1,918,1996,030199,    128.00,      2.00,     16.00,      9.85,0,0,0,13,13,13
H1,918,1996,030211,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H1,918,1996,030212,      6.00,      2.00,      2.00,      2.00,0,0,0,3,3,3
H1,918,1996,030219,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H1,918,1996,030221,     31.00,      8.00,     15.00,     10.33,0,0,0,3,3,3
H1,918,1996,030222,     10.50,     10.50,     10.50,     10.50,0,0,0,1,1,1
H1,918,1996,030223,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H1,918,1996,030229,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H1,918,1996,030231,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H1,918,1996,030232,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H1,918,1996,030233,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H1,918,1996,030239,     44.00,      0.00,     22.00,     11.00,0,2,0,2,4,4
H1,918,1996,030240,     30.00,      0.00,     15.00,     10.00,0,1,0,2,3,3
H1,918,1996,030250,     76.80,     12.00,     13.20,     12.80,0,0,0,6,6,6
H1,918,1996,030261,     64.00,      0.00,     23.00,     12.80,0,1,0,4,5,5
H1,918,1996,030262,     10.50,     10.50,     10.50,     10.50,0,0,0,1,1,1
H1,918,1996,030263,     10.50,     10.50,     10.50,     10.50,0,0,0,1,1,1
H1,918,1996,030264,     80.00,      0.00,     20.00,     16.00,0,1,0,4,5,5
H1,918,1996,030265,     21.60,      6.80,      8.00,      7.20,0,0,0,3,3,3
H1,918,1996,030266,      2.40,      1.20,      1.20,      1.20,0,0,0,2,2,2
H1,918,1996,030269,    398.70,      0.00,     22.00,     12.46,0,1,0,31,32,32
H1,918,1996,030270,    100.00,     10.00,     10.00,     10.00,0,0,0,10,10,10
H1,918,1996,030310,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H1,918,1996,030321,     33.00,      9.00,     12.00,     11.00,0,0,0,3,3,3
H1,918,1996,030322,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H1,918,1996,030329,     18.00,      9.00,      9.00,      9.00,0,0,0,2,2,2
H1,918,1996,030331,     30.40,      7.70,     15.00,     10.13,0,0,0,3,3,3
H1,918,1996,030332,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H1,918,1996,030333,     10.50,     10.50,     10.50,     10.50,0,0,0,1,1,1
H1,918,1996,030339,     51.00,     10.50,     15.00,     12.75,0,0,0,4,4,4
H1,918,1996,030341,     22.00,      0.00,     22.00,      5.50,0,3,0,1,4,4
H1,918,1996,030342,     22.00,      0.00,     22.00,      3.14,0,6,0,1,7,7
H1,918,1996,030343,     22.00,      0.00,     22.00,      5.50,0,3,0,1,4,4
H1,918,1996,030349,     22.00,      0.00,     22.00,      3.14,0,6,0,1,7,7
H1,918,1996,030350,     30.00,      0.00,     15.00,     10.00,0,1,0,2,3,3
H1,918,1996,030360,     76.80,     12.00,     13.20,     12.80,0,0,0,6,6,6
H1,918,1996,030371,     64.00,      0.00,     23.00,     12.80,0,1,0,4,5,5
H1,918,1996,030372,     10.50,     10.50,     10.50,     10.50,0,0,0,1,1,1
H1,918,1996,030373,     10.50,     10.50,     10.50,     10.50,0,0,0,1,1,1
H1,918,1996,030374,    110.00,      0.00,     20.00,     15.71,0,1,0,6,7,7
H1,918,1996,030375,     21.60,      6.80,      8.00,      7.20,0,0,0,3,3,3
H1,918,1996,030376,      2.40,      1.20,      1.20,      1.20,0,0,0,2,2,2
H1,918,1996,030377,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H1,918,1996,030378,     50.00,      5.00,     15.00,     12.50,0,0,0,4,4,4
H1,918,1996,030379,    367.20,      0.00,     22.00,     10.80,0,4,0,30,34,34
H1,918,1996,030380,     40.00,      0.00,     10.00,      8.00,0,1,0,4,5,5
H1,918,1996,030410,    498.00,      0.00,     18.00,     13.83,0,1,0,35,36,36
H1,918,1996,030420,    562.30,      2.00,     18.00,     10.81,0,0,0,52,52,52
H1,918,1996,030490,    382.00,      0.00,     15.00,     10.32,0,1,0,36,37,37
H1,918,1996,030510,     13.00,     13.00,     13.00,     13.00,0,0,0,1,1,1
H1,918,1996,030520,     66.00,     11.00,     11.00,     11.00,0,0,0,6,6,6
H1,918,1996,030530,    133.00,     15.00,     20.00,     16.63,0,0,0,8,8,8
H1,918,1996,030541,     26.00,     13.00,     13.00,     13.00,0,0,0,2,2,2
H1,918,1996,030542,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H1,918,1996,030549,    115.00,     14.00,     16.00,     14.38,0,0,0,8,8,8
H1,918,1996,030551,     78.00,     13.00,     13.00,     13.00,0,0,0,6,6,6
H1,918,1996,030559,     87.00,     10.00,     15.00,     12.43,0,0,0,7,7,7
H1,918,1996,030561,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H1,918,1996,030562,     39.00,     13.00,     13.00,     13.00,0,0,0,3,3,3
H1,918,1996,030563,     15.00,      5.00,     10.00,      7.50,0,0,0,2,2,2
H1,918,1996,030569,     86.00,     11.00,     15.00,     12.29,0,0,0,7,7,7
H1,918,1996,030611,     35.00,     17.50,     17.50,     17.50,0,0,0,2,2,2
H1,918,1996,030612,     22.00,      6.00,     16.00,     11.00,0,0,0,2,2,2
