NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H4,918,2016,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010129,     11.50,      0.00,     11.50,      5.75,0,1,0,1,2,2
H4,918,2016,010130,      7.70,      7.70,      7.70,      7.70,0,0,0,1,1,1
H4,918,2016,010190,     10.90,     10.90,     10.90,     10.90,0,0,0,1,1,1
H4,918,2016,010221,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H4,918,2016,010229,      0.00,      0.00,      0.00,      0.00,41,1,0,0,1,42
H4,918,2016,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010239,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2016,010290,      0.00,      0.00,      0.00,      0.00,2,2,0,0,2,4
H4,918,2016,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H4,918,2016,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2016,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2016,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H4,918,2016,010511,,,,,4,0,0,0,0,4
H4,918,2016,010512,,,,,1,0,0,0,0,1
H4,918,2016,010513,,,,,1,0,0,0,0,1
H4,918,2016,010514,,,,,1,0,0,0,0,1
H4,918,2016,010515,,,,,1,0,0,0,0,1
H4,918,2016,010594,,,,,1,0,0,0,0,1
H4,918,2016,010599,,,,,4,0,0,0,0,4
H4,918,2016,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010614,      3.80,      0.00,      3.80,      1.90,0,1,0,1,2,2
H4,918,2016,010619,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010633,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010639,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H4,918,2016,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,020110,,,,,3,0,0,0,0,3
H4,918,2016,020120,,,,,11,0,0,0,0,11
H4,918,2016,020130,,,,,3,0,0,0,0,3
H4,918,2016,020210,,,,,2,0,0,0,0,2
H4,918,2016,020220,,,,,11,0,0,0,0,11
H4,918,2016,020230,,,,,19,0,0,0,0,19
H4,918,2016,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H4,918,2016,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2016,020319,      0.00,      0.00,      0.00,      0.00,9,1,0,0,1,10
H4,918,2016,020321,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H4,918,2016,020322,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H4,918,2016,020329,      0.00,      0.00,      0.00,      0.00,9,1,0,0,1,10
H4,918,2016,020410,,,,,2,0,0,0,0,2
H4,918,2016,020421,,,,,2,0,0,0,0,2
H4,918,2016,020422,,,,,8,0,0,0,0,8
H4,918,2016,020423,,,,,4,0,0,0,0,4
H4,918,2016,020430,,,,,2,0,0,0,0,2
H4,918,2016,020441,,,,,2,0,0,0,0,2
H4,918,2016,020442,,,,,8,0,0,0,0,8
H4,918,2016,020443,,,,,4,0,0,0,0,4
H4,918,2016,020450,,,,,14,0,0,0,0,14
H4,918,2016,020500,     10.20,      5.10,      5.10,      5.10,0,0,0,2,2,2
H4,918,2016,020610,      0.00,      0.00,      0.00,      0.00,2,2,0,0,2,4
H4,918,2016,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,020622,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,020629,      0.00,      0.00,      0.00,      0.00,10,2,0,0,2,12
H4,918,2016,020630,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H4,918,2016,020641,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H4,918,2016,020649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H4,918,2016,020680,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H4,918,2016,020690,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H4,918,2016,020711,,,,,3,0,0,0,0,3
H4,918,2016,020712,,,,,2,0,0,0,0,2
H4,918,2016,020713,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H4,918,2016,020714,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H4,918,2016,020724,,,,,2,0,0,0,0,2
H4,918,2016,020725,,,,,2,0,0,0,0,2
H4,918,2016,020726,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H4,918,2016,020727,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H4,918,2016,020741,,,,,3,0,0,0,0,3
