Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_Production volume_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1,dep_k0
AUS,1998,-0.33000000000000007,0.010000000000000675,0.581144234729436,67.76759175000007,-0.03549158879978398,0.578438076642783,0.07299756946982683,0.07113468411459989,-0.1436266583333392,0.15802495549280127
AUS,1999,-0.39000000000000057,-0.33000000000000007,-1.9847229622741098,150.76634233332152,0.01859137471637684,3.8377509387004736,0.15802495549280127,0.24425617762704,-0.6850579583333305,-0.15528161719722067
AUS,2000,-0.2699999999999996,-0.39000000000000057,-0.580158459104446,155.1904803333382,0.024150513560500908,-1.7816606950035876,-0.15528161719722067,-0.04262899724195002,-0.80363805,-0.2357092791528801
AUS,2001,-1.0300000000000002,-0.2699999999999996,1.426593024713804,229.11789958334157,0.0855303417754012,1.2948033845627762,-0.2357092791528801,0.17685582710894,-0.5882451583333399,-0.210570337298984
AUS,2002,-1.1099999999999999,-1.0300000000000002,1.810652575538536,113.28215908333004,0.03978604562340182,-1.8613566511969495,-0.210570337298984,0.20885746829057017,0.4566268333333401,0.39067035565859265
AUS,2003,0.050000000000000266,-1.1099999999999999,-1.5360400230049702,175.25160316666006,0.008656190917375461,7.599609232795856,0.39067035565859265,-0.09407763513968015,-0.3732617083333407,-0.2536534184598871
AUS,2004,-0.050000000000000266,0.050000000000000266,-1.537536628699626,206.2704106666697,0.02262376709610736,-1.3910629680746496,-0.2536534184598871,-0.29976190009499004,-0.4404910416666592,0.2430899450914159
AUS,2005,-0.6200000000000001,-0.050000000000000266,-0.9743643829210518,161.82436041666006,0.017320575795003013,0.5218248178954354,0.2430899450914159,-0.18229181825885998,-0.53168674166667,-0.2692532472088516
AUS,2006,0.31000000000000005,-0.6200000000000001,0.3377421686248665,322.27252275000865,0.030148642836215434,0.4382653950936799,-0.2692532472088516,-0.046454115534219964,-0.3628528083333302,-0.12025082776617513
AUS,2007,0.07000000000000028,0.31000000000000005,0.08463813577107793,243.5943305833316,0.044188726637894415,1.215822078071028,-0.12025082776617513,0.01511952694648011,-0.24864101666666993,0.48305018494153074
AUS,2008,-0.30000000000000027,0.07000000000000028,-0.8654089051763814,310.0410626666999,0.0075267619412908715,2.2843294209816207,0.48305018494153074,-0.13272565484033017,-0.40608821666666994,-0.5693006548974909
