,Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,Emploi,"Importations de biens et services, volume",M3,Prix à la consommation,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff,tariff_lag1,delta_tariff
1435,Spain,ESP,2012,0.1461623214374939,-20.92082643453,17632.125,-5.864577786320397,,99.2568730323416,-2.86528756070412,0.778006210395884,24.7916666666667,1.46,1.59,-0.1300000000000001
1436,Spain,ESP,2013,2.0184563160639675,14.3145571841408,17138.825,-0.2788275185689796,,100.654986578217,-1.4271419387410496,0.753297658306669,26.1166666666667,1.49,1.46,0.03
1437,Spain,ESP,2014,1.7727453705631409,21.2245969239632,17343.825,6.802878644459248,,100.502881958786,1.5203924187642532,0.753695140645586,24.45,2.03,1.49,0.5399999999999998
1438,Spain,ESP,2015,2.113126153959599,1.34846039307946,17865.55,5.091691940223439,,100.0,4.06095746225319,0.901451643908024,22.075,2.02,2.03,-0.0099999999999997
1439,Spain,ESP,2016,3.214365471263842,-18.5917107100908,18341.2,2.6457447381170285,,99.7974019995736,2.915066247542142,0.904281526915114,19.65,2.09,2.02,0.0699999999999998
1440,Spain,ESP,2017,2.804582243200665,17.4985079151548,18824.8,6.695743124932615,,101.749515361674,2.8960420786500767,0.887107173889516,17.2333333333333,1.96,2.09,-0.1299999999999999
1441,Spain,ESP,2018,1.9105443292486983,-6.12394469308922,19327.5,3.888426197725382,,103.453800786662,2.39541124478878,0.847324485146496,15.2666666666667,1.83,1.96,-0.1299999999999999
1442,Spain,ESP,2019,2.1751665709780346,-4.88248556030318,19779.125,1.3184213638932338,,104.177479773654,1.9612589241342016,0.893348371188594,14.1083333333333,1.84,1.83,0.01
1443,Spain,ESP,2020,1.0632442370372075,-18.3293197059623,19202.275,-15.148480689857328,,103.841243814338,-10.940140875618232,0.877541570440429,15.5333333333333,1.48,1.84,-0.3600000000000001
1444,Spain,ESP,2021,0.8346649293200573,14.3851079731649,19833.45,14.98113599814109,,107.053193795559,6.683144204730007,0.845553392731664,14.933333333333335,1.39,1.48,-0.09
1445,Spain,ESP,2022,,-4.61939212928733,20547.5,,,116.035573746654,,0.950882523746784,13.033333333333331,1.33,1.39,-0.0599999999999998
1446,Sweden,SWE,1988,,9.15076714129069,4375.0,,10.987525437527513,56.3900376314775,,6.12875986851993,1.8,0.99,,
1447,Sweden,SWE,1989,,38.9410541621573,4442.0,,13.112999833446553,60.023403321676,,6.44622656923115,1.55833333333333,4.31,0.99,3.3199999999999994
1448,Sweden,SWE,1990,,-4.96422514600304,4485.0,,15.04696324272628,66.2457614722817,,5.91836925388358,1.71666666666667,,4.31,
1449,Sweden,SWE,1991,,-8.39662239154816,4396.0,,16.76508233524843,72.5024267648897,,6.04546458315185,3.1,,,
1450,Sweden,SWE,1992,,-14.676593016174,4209.0,,12.453822909400824,74.2239006422616,,5.82302467608041,5.55833333333333,,,
1451,Sweden,SWE,1993,-1.1886900443257018,30.826686133904,3964.0,-2.1597379753258914,16.12633073455405,77.7333351063122,-1.995281371638784,7.78543950420439,9.05,,,
1452,Sweden,SWE,1994,1.009527717344348,27.4881589619426,3928.0,12.864068601494742,15.55975786038531,79.4109277555416,4.015785782867229,7.71570436735397,9.35833333333334,,,
1453,Sweden,SWE,1995,3.141532913045394,11.3629728204957,3986.0,7.241767812767176,13.797564303558678,81.3605840192546,4.094384206753849,7.13361872263263,8.8,,,
1454,Sweden,SWE,1996,3.192361025483401,21.7485662560414,3963.0,3.571854337061628,19.41238005853418,81.7943433107722,1.7047019165564372,6.70707939700602,9.55833333333333,,,
1455,Sweden,SWE,1997,3.7829953096103286,45.6168814931566,3922.0,12.424245227076751,17.507354217898644,82.3328856561574,3.065009482219735,7.63461683850189,9.89166666666667,,,
1456,Sweden,SWE,1998,3.524606394931193,15.561008798107,3979.0,10.97168567756374,17.615693185344607,82.1129476217704,4.24583705776395,7.94707818958216,8.2,,,
1457,Sweden,SWE,1999,3.8061024589733687,15.9577949557072,4068.0,5.578451296050848,32.087997037124964,82.4924537584937,4.201114986353428,8.2623434051485,6.73333333333333,,,
1458,Sweden,SWE,2000,3.8944634608870543,48.9818465681245,,12.556751818125766,26.661378190779587,83.2341794875204,4.631126829801592,9.16059325270484,,2.41,,
1459,Sweden,SWE,2001,4.651187304892315,-29.7414545363883,4318.1,-1.3684880363007506,23.016218042701006,85.2367591718416,1.3608101485830986,10.3383767896549,5.825,3.37,2.41,0.96
1460,Sweden,SWE,2002,4.354890435099403,-23.055003548616,4323.925,-0.9530020971668725,23.388848314381534,87.0765793917796,2.2777128052351223,9.72104173495791,5.95,2.45,3.37,-0.92
1461,Sweden,SWE,2003,5.794211004066009,-11.3881317708261,4314.4,3.2512318067255555,25.753485990781837,88.7533742004973,1.881013331528992,8.07822306961618,6.56666666666667,2.52,2.45,0.0699999999999998
1462,Sweden,SWE,2004,5.943653461761103,28.3233925615963,4290.025,6.892433126341808,25.31322598405271,89.0850099065197,4.179604509598772,7.34599586064327,7.375,2.24,2.52,-0.2799999999999998
1463,Sweden,SWE,2005,6.041656955473136,21.7758093430349,4336.425,6.838512407533364,30.49198307324298,89.4887172054306,2.79315622935198,7.47387105419306,,2.46,2.24,0.2199999999999997
1464,Sweden,SWE,2006,8.210043229726987,26.5627081612533,4429.45,8.169063072799634,38.1394223295934,90.7059558794197,4.676077350124496,7.37330715677657,7.24166666666667,2.3,2.46,-0.1600000000000001
1465,Sweden,SWE,2007,8.278602815449915,20.3148930795101,4540.675,8.864914241463511,43.21585683960182,92.7125247662992,3.2248568305183523,6.75773017086693,6.31666666666666,2.24,2.3,-0.0599999999999996
1466,Sweden,SWE,2008,7.968362090078498,-29.8600828085801,4592.975,2.831011120661368,43.50540599939272,95.899099769956,-0.9231168426374682,6.59710500074157,6.35,1.72,2.24,-0.5200000000000002
1467,Sweden,SWE,2009,5.889257853393445,-9.59588872361459,4499.325,-14.020388630312208,40.527190533583195,95.4249165591798,-4.255608459723032,7.65260470151829,8.48333333333334,1.85,1.72,0.1300000000000001
1468,Sweden,SWE,2010,5.895301948354287,30.653278465163,4523.7,12.176403882633242,40.850730887269584,96.529925667859,5.75075469070024,7.20219173724826,8.775,2.13,1.85,0.2799999999999998
1469,Sweden,SWE,2011,5.524478469349914,1.50829124568014,4625.875,6.709679014940982,42.84913728302197,99.3883222743773,3.1638816304823623,6.48918810308049,7.95,1.59,2.13,-0.5399999999999998
1470,Sweden,SWE,2012,5.496455191694045,-0.881176427750297,4657.125,0.5510699341690162,47.430480437405805,100.271265773972,-0.4144131826528049,6.76893428932179,8.15,1.46,1.59,-0.1300000000000001
1471,Sweden,SWE,2013,4.7591020611906965,17.0824827209799,4704.475,0.8750645265849535,46.28484178697351,100.226852652155,1.1376493440319917,6.51300535855449,8.20833333333333,1.49,1.46,0.03
1472,Sweden,SWE,2014,3.669318145749816,15.5352208319606,4772.125,6.502743373869057,48.94761396070856,100.046806643352,2.2957835049042945,6.85987996196436,8.1,2.03,1.49,0.5399999999999998
1473,Sweden,SWE,2015,2.9737669511568345,16.6027502487794,4836.85,5.791844727195862,53.26890092894577,100.0,4.388245006654819,8.4293252232731,7.59166666666667,2.02,2.03,-0.0099999999999997
1474,Sweden,SWE,2016,2.2684402538376194,-4.58520695982578,4909.9,5.630234206859486,58.36779277692411,100.984269244578,2.1311879885136165,8.55645321303093,7.15,2.09,2.02,0.0699999999999998
1475,Sweden,SWE,2017,2.317891781703814,15.6467234480294,5021.65,4.392388755363212,64.315127624669,102.796430993444,1.882827070157844,8.54703068040655,6.85833333333333,1.96,2.09,-0.1299999999999999
1476,Sweden,SWE,2018,2.41846424031648,0.523605201979239,5097.275,4.181943087994861,65.53961532042943,104.804595561347,1.7702547371753856,8.69041202169208,,1.83,1.96,-0.1299999999999999
1477,Sweden,SWE,2019,5.519583885714657,6.20299088576232,5131.55,1.984218342352218,,106.674467773892,2.608228991210878,9.45588466034569,6.90833333333333,1.84,1.83,0.01
1478,Sweden,SWE,2020,5.502384335239682,10.5995046023403,5064.325,-6.301921452085937,,107.20503171416,-1.933784594779252,9.20972998227618,8.48333333333334,1.48,1.84,-0.3600000000000001
1479,Sweden,SWE,2021,6.264010060377563,37.0849427011843,5105.15,13.384120327767764,,109.524088134782,5.22586462304481,8.57694616843905,8.89166666666667,1.39,1.48,-0.09
1480,Sweden,SWE,2022,3.976809780550207,-11.3418683606321,5257.15,9.80125000721302,,118.690477773493,1.2554395220007166,10.1076997493569,7.48333333333333,1.33,1.39,-0.0599999999999998
1481,Switzerland,CHE,1988,3.5988461966603644,-15.4696582821752,,5.6606412469096,22.110535948124138,70.9254907451092,3.277596252373899,1.46311544792603,,,,
1482,Switzerland,CHE,1989,3.181969613700085,22.1986567691764,,7.176410022419168,21.142593600185382,73.1633813330411,4.330794053178969,1.63549988127235,,,,
1483,Switzerland,CHE,1990,2.713090155882826,-2.73012207192346,,5.878442207469502,19.649746276084276,77.1171005307411,3.674625633334845,1.38885964464511,,7.35,,
1484,Switzerland,CHE,1991,3.9985849091117753,0.0593572458237713,,-3.1988665447470424,20.41068284907875,81.6358515582084,-0.9158165715250604,1.43367662127667,,,7.35,
1485,Switzerland,CHE,1992,4.556143098608561,9.61864406779664,,1.2374095684877355,20.54257539574535,84.9315155459978,-0.0437329929897376,1.40576483143641,,,,
1486,Switzerland,CHE,1993,6.402078983546633,27.3521453420951,,-1.308231743190899,22.121704051049658,87.7279891445992,-0.1259835459030825,1.47735833951146,,8.84,,
1487,Switzerland,CHE,1994,5.425425737864806,17.4467310143871,,4.507200052911941,23.842547768480536,88.475534249578,1.2697576965880115,1.36706645005216,,,8.84,
1488,Switzerland,CHE,1995,4.900696054218782,3.32868144932033,,15.02345430864605,22.85306445536344,90.0679414834824,1.6453994795503073,1.18208039937323,,16.77,,
1489,Switzerland,CHE,1996,5.380120628128028,25.6117712970837,,4.324245429237378,26.575359583321696,90.7989635778716,0.560166837873645,1.23613187323924,,7.91,16.77,-8.86
1490,Switzerland,CHE,1997,8.57366792424028,40.7507894970792,,11.587922172865577,27.036578740956003,91.2713228699851,2.097616849869379,1.45001723822484,,3.04,7.91,-4.87
1491,Switzerland,CHE,1998,7.932206528817043,33.5747934585786,3833.0,6.020063987484043,25.3755167034809,91.2876955195075,2.776113772482514,1.44965355856704,,2.7,3.04,-0.3399999999999998
1492,Switzerland,CHE,1999,8.881292404421181,2.44448627349642,3862.0,4.62355879201118,25.659351968738477,92.023880010532,1.680075591032255,1.50273295720197,,2.6,2.7,-0.1
1493,Switzerland,CHE,2000,11.143999792260656,11.8422973085393,3878.8,8.522359364286421,23.984579590581355,93.4580990485152,3.6332168615401135,1.68794338035733,,2.34,2.6,-0.2600000000000002
1494,Switzerland,CHE,2001,6.983849611846042,-11.0129294172736,3938.2,1.6441640989553017,26.85460042125481,94.38241864798,1.5921977184163252,1.6869474692102,,2.35,2.34,0.0100000000000002
1495,Switzerland,CHE,2002,7.336556589609249,-18.4866113265811,3964.9,-2.2374641123824537,28.61955429961089,94.9890253127844,0.3804102111300908,1.55677142205214,,2.19,2.35,-0.1600000000000001
1496,Switzerland,CHE,2003,11.200321024589083,-14.8817570396046,3963.0,0.3252230918884138,33.011625756918576,95.5953145486696,-0.2842224545256374,1.34481620493337,,2.65,2.19,0.4599999999999999
1497,Switzerland,CHE,2004,12.213395687537696,17.9282308209344,3959.2,4.948364616147164,31.873922607360143,96.3628576755649,2.5869289494258103,1.24274273194793,,2.11,2.65,-0.54
1498,Switzerland,CHE,2005,11.291789184116723,15.3080806415047,3974.5,9.989141606188348,33.386625503682495,97.4921862365494,2.95208489416109,1.24593857783194,,2.32,2.11,0.2099999999999999
1499,Switzerland,CHE,2006,12.751453542627686,25.8769865874977,4051.4,3.183339622844012,33.407019618709334,98.525125000167,4.134322593415278,1.25320420484475,,2.71,2.32,0.3900000000000001
1500,Switzerland,CHE,2007,8.302342571522582,13.5528983899797,4122.0,5.7901721789410665,34.0434460931201,99.2466743473327,3.983193736492949,1.19987174388574,,1.89,2.71,-0.8200000000000001
1501,Switzerland,CHE,2008,1.3696640269795224,-22.8891750779926,4228.8,4.317821082521665,34.98774491473341,101.654439527452,2.531596289715522,1.0836299855322,,1.79,1.89,-0.0999999999999998
1502,Switzerland,CHE,2009,5.963592038226313,-18.4785885283436,,-2.5953618363434003,38.370720846813114,101.16600830795,-1.93490949501715,1.08609893343371,,1.77,1.79,-0.02
1503,Switzerland,CHE,2010,13.66506786003622,14.6668353352599,4207.475,7.98045447014004,41.48234470068727,101.862271935675,3.260630796478653,1.04270904934437,4.803625370376183,1.49,1.77,-0.28
