Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1,dep_k0
AUS,1998,-0.33000000000000007,0.010000000000000675,0.581144234729436,67.76759175000007,0.0022463506263745714,0.07299756946982683,0.07113468411459989,-0.1436266583333392,0.15802495549280127
AUS,1999,-0.39000000000000057,-0.33000000000000007,-1.9847229622741098,150.76634233332152,0.008564565477840347,0.15802495549280127,0.24425617762704,-0.6850579583333305,-0.15528161719722067
AUS,2000,-0.2699999999999996,-0.39000000000000057,-0.580158459104446,155.1904803333382,0.01472238590094932,-0.15528161719722067,-0.04262899724195002,-0.80363805,-0.2357092791528801
AUS,2001,-1.0300000000000002,-0.2699999999999996,1.426593024713804,229.11789958334157,0.0436094832816325,-0.2357092791528801,0.17685582710894,-0.5882451583333399,-0.210570337298984
AUS,2002,-1.1099999999999999,-1.0300000000000002,1.810652575538536,113.28215908333004,0.043127833504391866,-0.210570337298984,0.20885746829057017,0.4566268333333401,0.39067035565859265
AUS,2003,0.050000000000000266,-1.1099999999999999,-1.5360400230049702,175.25160316666006,0.029379898271838734,0.39067035565859265,-0.09407763513968015,-0.3732617083333407,-0.2536534184598871
AUS,2004,-0.050000000000000266,0.050000000000000266,-1.537536628699626,206.2704106666697,0.02695927071704496,-0.2536534184598871,-0.29976190009499004,-0.4404910416666592,0.2430899450914159
AUS,2005,-0.6200000000000001,-0.050000000000000266,-0.9743643829210518,161.82436041666006,0.023162224825398425,0.2430899450914159,-0.18229181825885998,-0.53168674166667,-0.2692532472088516
AUS,2006,0.31000000000000005,-0.6200000000000001,0.3377421686248665,322.27252275000865,0.026562392078989916,-0.2692532472088516,-0.046454115534219964,-0.3628528083333302,-0.12025082776617513
AUS,2007,0.07000000000000028,0.31000000000000005,0.08463813577107793,243.5943305833316,0.03493546512985812,-0.12025082776617513,0.01511952694648011,-0.24864101666666993,0.48305018494153074
AUS,2008,-0.30000000000000027,0.07000000000000028,-0.8654089051763814,310.0410626666999,0.023009355624148853,0.48305018494153074,-0.13272565484033017,-0.40608821666666994,-0.5693006548974909
AUS,2009,0.52,-0.30000000000000027,1.849743765544929,296.9011924999995,0.042583308574632994,-0.5693006548974909,0.00231778436262009,-0.14482180000000078,-0.2211895017199056
AUS,2010,-0.8700000000000001,0.52,0.3769462467943665,74.40613250000024,0.017556156518303112,-0.2211895017199056,0.08465827514551005,1.3260557250000007,0.2362159315343243
AUS,2011,-1.0299999999999998,-0.8700000000000001,0.7998226094651186,216.66714499999944,0.02876567252326545,0.2362159315343243,-0.19198321805007001,-0.34704499166666025,0.06551686367663079
AUS,2012,0.040000000000000036,-1.0299999999999998,0.7289321375627873,191.57278899159974,0.032504461041067856,0.06551686367663079,-0.12098739569609207,-0.13214525833334,0.38357613652548295
AUS,2013,0.030000000000000027,0.040000000000000036,-1.374760837113183,136.98621716670095,0.017474233947222473,0.38357613652548295,-0.0032231938954769834,0.14218067499999965,-0.5853927889782289
AUS,2014,0.06999999999999984,0.030000000000000027,0.9665718109354131,105.90679628329963,0.02420360174088554,-0.5853927889782289,0.07044034352295903,0.43856394166667023,0.15076821626472459
AUS,2015,-0.010000000000000009,0.06999999999999984,0.3051982920085665,83.45249048339974,0.024574778382965512,0.15076821626472459,0.07303869117573991,0.41530451666667023,-0.08876955642888673
AUS,2016,-0.72,-0.010000000000000009,-1.6261497229207595,226.10644012500052,0.014971039851785939,-0.08876955642888673,0.22143619104241008,-0.020820908333339716,0.14330410882556588
AUS,2017,-0.2899999999999999,-0.72,1.2318728665994003,199.51101208329965,0.012689061707460425,0.14330410882556588,0.014457062757230021,-0.3422747333333307,-0.09863040689634317
AUS,2018,-0.030000000000000027,-0.2899999999999999,0.6471359114614836,253.53482134166734,0.01929904374912894,-0.09863040689634317,-0.040454116363970005,-0.10781734166666546,0.15375353869238817
AUS,2019,-0.08999999999999997,-0.030000000000000027,0.2543187994697744,318.74762866666424,0.01893363163719819,0.15375353869238817,0.033771702392489944,-0.2975163750000016,-0.3920470538682218
AUT,2002,-0.9199999999999999,0.96,-0.194804377664217,-33.0,0.026154957476851592,-0.8845195379561066,0.031535018206160004,0.04999999999999982,0.11963771755664487
AUT,2003,0.06999999999999984,-0.9199999999999999,2.742100837014907,49.0,0.017941669577060892,0.11963771755664487,-0.05556595551550991,0.40000000000000036,-0.26258911676611385
AUT,2006,-0.16000000000000014,0.21999999999999975,0.44766852313470507,15.425000000000182,0.02273105805078668,-0.10033299232979265,-0.00024267915778097837,0.1416666666666595,0.3428623907998676
AUT,2012,-0.13000000000000012,-0.5399999999999998,-1.1756345542120095,35.80000000000018,0.03233729839395938,0.48137348192420193,-0.03588476378693706,-0.2916666666666696,-1.538961650395508
AUT,2016,0.06999999999999984,-0.009999999999999787,-0.5076407094740809,35.599999999999454,0.008925700027553773,0.5450507929884485,0.14775650326243805,0.1166666666666707,0.48503265126410006
AUT,2017,-0.1299999999999999,0.06999999999999984,0.936838925078358,71.90000000000055,0.008876411510169824,0.48503265126410006,0.0028298830070899728,0.2999999999999998,0.07066684969875403
AUT,2018,-0.1299999999999999,-0.1299999999999999,-1.2655704828101264,39.92500000000018,0.02059906087007146,0.07066684969875403,-0.017174353025598,-0.5250000000000004,0.0891886156113536
AUT,2019,0.010000000000000009,-0.1299999999999999,-0.5614387667023332,58.899999999999636,0.01978676321958428,0.0891886156113536,-0.039782688743019934,-0.7166666666666694,-0.347503761976216
CAN,1997,-3.4399999999999995,-1.2600000000000007,1.2448258844930615,124.75,0.015583259102657898,-0.462571518089385,-0.008705104625189808,0.1000000000000103,0.9298783283065063
CAN,1998,-0.55,-3.4399999999999995,-1.7471446880093005,288.03333333340015,0.016082150001991202,0.9298783283065063,0.021215599525509887,-0.4916666666666689,-0.09484107416608722
CAN,1999,-0.42999999999999994,-0.55,-0.010608778662000828,338.84166666659985,0.00991015634972836,-0.09484107416608722,0.09849255335308005,-0.833333333333341,0.27809737704012916
CAN,2000,0.30000000000000004,-0.42999999999999994,1.5118210518890265,354.97500000000036,0.017199663612475824,0.27809737704012916,0.002043926662280038,-0.6916666666666593,-0.0004794686406652815
