NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H3,918,2009,010110,     15.40,      0.00,      7.70,      5.13,0,1,0,2,3,3
H3,918,2009,010190,     30.10,      0.00,     11.50,      7.53,0,1,0,3,4,4
H3,918,2009,010210,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H3,918,2009,010290,      0.00,      0.00,      0.00,      0.00,41,1,0,0,1,42
H3,918,2009,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2009,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2009,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2009,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H3,918,2009,010511,,,,,4,0,0,0,0,4
H3,918,2009,010512,,,,,1,0,0,0,0,1
H3,918,2009,010519,,,,,2,0,0,0,0,2
H3,918,2009,010594,,,,,1,0,0,0,0,1
H3,918,2009,010599,,,,,4,0,0,0,0,4
H3,918,2009,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,010619,      3.80,      0.00,      3.80,      1.90,0,1,0,1,2,2
H3,918,2009,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,010639,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H3,918,2009,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,020110,,,,,3,0,0,0,0,3
H3,918,2009,020120,,,,,11,0,0,0,0,11
H3,918,2009,020130,,,,,2,0,0,0,0,2
H3,918,2009,020210,,,,,2,0,0,0,0,2
H3,918,2009,020220,,,,,11,0,0,0,0,11
H3,918,2009,020230,,,,,16,0,0,0,0,16
H3,918,2009,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2009,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2009,020319,      0.00,      0.00,      0.00,      0.00,8,1,0,0,1,9
H3,918,2009,020321,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2009,020322,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2009,020329,      0.00,      0.00,      0.00,      0.00,9,1,0,0,1,10
H3,918,2009,020410,,,,,2,0,0,0,0,2
H3,918,2009,020421,,,,,2,0,0,0,0,2
H3,918,2009,020422,,,,,8,0,0,0,0,8
H3,918,2009,020423,,,,,4,0,0,0,0,4
H3,918,2009,020430,,,,,2,0,0,0,0,2
H3,918,2009,020441,,,,,2,0,0,0,0,2
H3,918,2009,020442,,,,,8,0,0,0,0,8
H3,918,2009,020443,,,,,4,0,0,0,0,4
H3,918,2009,020450,,,,,14,0,0,0,0,14
H3,918,2009,020500,     10.20,      5.10,      5.10,      5.10,0,0,0,2,2,2
H3,918,2009,020610,      0.00,      0.00,      0.00,      0.00,2,2,0,0,2,4
H3,918,2009,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,020622,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,020629,      0.00,      0.00,      0.00,      0.00,10,2,0,0,2,12
H3,918,2009,020630,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H3,918,2009,020641,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H3,918,2009,020649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2009,020680,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H3,918,2009,020690,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H3,918,2009,020711,,,,,3,0,0,0,0,3
H3,918,2009,020712,,,,,2,0,0,0,0,2
H3,918,2009,020713,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H3,918,2009,020714,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H3,918,2009,020724,,,,,2,0,0,0,0,2
H3,918,2009,020725,,,,,2,0,0,0,0,2
H3,918,2009,020726,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H3,918,2009,020727,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
