NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H1,918,2000,010111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,2000,010119,     11.50,      0.00,     11.50,      5.75,0,1,0,1,2,2
H1,918,2000,010120,     18.60,      7.70,     10.90,      9.30,0,0,0,2,2,2
H1,918,2000,010210,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H1,918,2000,010290,      0.00,      0.00,      0.00,      0.00,42,1,0,0,1,43
H1,918,2000,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,2000,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H1,918,2000,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,2000,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,2000,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H1,918,2000,010511,,,,,4,0,0,0,0,4
H1,918,2000,010512,,,,,1,0,0,0,0,1
H1,918,2000,010519,,,,,2,0,0,0,0,2
H1,918,2000,010592,,,,,1,0,0,0,0,1
H1,918,2000,010593,,,,,1,0,0,0,0,1
H1,918,2000,010599,,,,,4,0,0,0,0,4
H1,918,2000,010600,     10.20,      0.00,      6.40,      3.40,0,1,0,2,3,3
H1,918,2000,020110,,,,,3,0,0,0,0,3
H1,918,2000,020120,,,,,11,0,0,0,0,11
H1,918,2000,020130,,,,,2,0,0,0,0,2
H1,918,2000,020210,,,,,2,0,0,0,0,2
H1,918,2000,020220,,,,,11,0,0,0,0,11
H1,918,2000,020230,,,,,19,0,0,0,0,19
H1,918,2000,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H1,918,2000,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,2000,020319,      0.00,      0.00,      0.00,      0.00,8,1,0,0,1,9
H1,918,2000,020321,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H1,918,2000,020322,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,2000,020329,      0.00,      0.00,      0.00,      0.00,8,1,0,0,1,9
H1,918,2000,020410,,,,,2,0,0,0,0,2
H1,918,2000,020421,,,,,2,0,0,0,0,2
H1,918,2000,020422,,,,,8,0,0,0,0,8
H1,918,2000,020423,,,,,2,0,0,0,0,2
H1,918,2000,020430,,,,,2,0,0,0,0,2
H1,918,2000,020441,,,,,2,0,0,0,0,2
H1,918,2000,020442,,,,,8,0,0,0,0,8
H1,918,2000,020443,,,,,4,0,0,0,0,4
H1,918,2000,020450,,,,,12,0,0,0,0,12
H1,918,2000,020500,     15.30,      5.10,      5.10,      5.10,0,0,0,3,3,3
H1,918,2000,020610,      0.00,      0.00,      0.00,      0.00,2,3,0,0,3,5
H1,918,2000,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,2000,020622,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H1,918,2000,020629,      0.00,      0.00,      0.00,      0.00,10,2,0,0,2,12
H1,918,2000,020630,      0.00,      0.00,      0.00,      0.00,0,7,0,0,7,7
H1,918,2000,020641,      0.00,      0.00,      0.00,      0.00,0,5,0,0,5,5
H1,918,2000,020649,      0.00,      0.00,      0.00,      0.00,0,5,0,0,5,5
H1,918,2000,020680,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H1,918,2000,020690,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H1,918,2000,020711,,,,,3,0,0,0,0,3
H1,918,2000,020712,,,,,2,0,0,0,0,2
H1,918,2000,020713,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H1,918,2000,020714,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H1,918,2000,020724,,,,,2,0,0,0,0,2
H1,918,2000,020725,,,,,2,0,0,0,0,2
H1,918,2000,020726,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H1,918,2000,020727,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H1,918,2000,020732,,,,,6,0,0,0,0,6
H1,918,2000,020733,,,,,5,0,0,0,0,5
H1,918,2000,020734,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H1,918,2000,020735,      6.40,      6.40,      6.40,      6.40,23,0,0,1,1,24
H1,918,2000,020736,      6.40,      0.00,      6.40,      2.13,23,2,0,1,3,26
H1,918,2000,020810,     12.80,      0.00,      6.40,      4.27,0,1,0,2,3,3
H1,918,2000,020820,      6.40,      6.40,      6.40,      6.40,0,0,0,1,1,1
H1,918,2000,020890,     37.20,      0.00,      9.00,      4.65,0,3,0,5,8,8
H1,918,2000,020900,,,,,4,0,0,0,0,4
H1,918,2000,021011,     15.40,     15.40,     15.40,     15.40,4,0,0,1,1,5
H1,918,2000,021012,     15.40,     15.40,     15.40,     15.40,2,0,0,1,1,3
H1,918,2000,021019,     15.40,     15.40,     15.40,     15.40,10,0,0,1,1,11
H1,918,2000,021020,,,,,3,0,0,0,0,3
H1,918,2000,021090,    133.40,      0.00,     15.40,     12.13,8,1,0,10,11,19
H1,918,2000,030110,      7.50,      0.00,      7.50,      3.75,0,1,0,1,2,2
H1,918,2000,030191,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H1,918,2000,030192,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,2000,030193,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H1,918,2000,030199,    208.00,      2.00,     16.00,     11.56,0,0,0,18,18,18
H1,918,2000,030211,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H1,918,2000,030212,     14.00,      2.00,      2.00,      2.00,0,0,0,7,7,7
H1,918,2000,030219,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H1,918,2000,030221,     31.00,      8.00,     15.00,     10.33,0,0,0,3,3,3
H1,918,2000,030222,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H1,918,2000,030223,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H1,918,2000,030229,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H1,918,2000,030231,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H1,918,2000,030232,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H1,918,2000,030233,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H1,918,2000,030239,     44.00,      0.00,     22.00,     11.00,0,2,0,2,4,4
H1,918,2000,030240,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H1,918,2000,030250,     48.00,     12.00,     12.00,     12.00,0,0,0,4,4,4
H1,918,2000,030261,     51.00,     13.00,     23.00,     17.00,0,0,0,3,3,3
H1,918,2000,030262,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H1,918,2000,030263,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H1,918,2000,030264,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H1,918,2000,030265,     20.00,      6.00,      8.00,      6.67,0,0,0,3,3,3
H1,918,2000,030266,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
