NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H0,918,1989,010111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1989,010119,     22.00,      4.00,     18.00,     11.00,0,0,0,2,2,2
H0,918,1989,010120,,,,,2,0,0,0,0,2
H0,918,1989,010210,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1989,010290,,,,,6,0,0,0,0,6
H0,918,1989,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1989,010391,,,,,2,0,0,0,0,2
H0,918,1989,010392,,,,,3,0,0,0,0,3
H0,918,1989,010410,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H0,918,1989,010420,,,,,2,0,0,0,0,2
H0,918,1989,010511,,,,,1,0,0,0,0,1
H0,918,1989,010519,,,,,2,0,0,0,0,2
H0,918,1989,010591,,,,,1,0,0,0,0,1
H0,918,1989,010599,,,,,4,0,0,0,0,4
H0,918,1989,010600,     16.00,      0.00,     10.00,      4.00,0,2,0,2,4,4
H0,918,1989,020110,,,,,2,0,0,0,0,2
H0,918,1989,020120,,,,,7,0,0,0,0,7
H0,918,1989,020130,,,,,1,0,0,0,0,1
H0,918,1989,020210,,,,,1,0,0,0,0,1
H0,918,1989,020220,,,,,4,0,0,0,0,4
H0,918,1989,020230,,,,,3,0,0,0,0,3
H0,918,1989,020311,      3.00,      3.00,      3.00,      3.00,1,0,0,1,1,2
H0,918,1989,020312,      3.00,      3.00,      3.00,      3.00,2,0,0,1,1,3
H0,918,1989,020319,      3.00,      3.00,      3.00,      3.00,5,0,0,1,1,6
H0,918,1989,020321,,,,,2,0,0,0,0,2
H0,918,1989,020322,      3.00,      3.00,      3.00,      3.00,2,0,0,1,1,3
H0,918,1989,020329,      3.00,      3.00,      3.00,      3.00,5,0,0,1,1,6
H0,918,1989,020410,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1989,020421,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1989,020422,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H0,918,1989,020423,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1989,020430,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1989,020441,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1989,020442,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H0,918,1989,020443,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1989,020450,    240.00,     20.00,     20.00,     20.00,0,0,0,12,12,12
H0,918,1989,020500,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H0,918,1989,020610,     11.00,      0.00,      7.00,      3.67,1,1,0,2,3,4
H0,918,1989,020621,      4.00,      4.00,      4.00,      4.00,0,0,0,1,1,1
H0,918,1989,020622,      7.00,      0.00,      7.00,      3.50,0,1,0,1,2,2
