NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H3,918,2011,010110,      7.70,      0.00,      7.70,      3.85,0,1,0,1,2,2
H3,918,2011,010190,     30.10,      0.00,     11.50,      7.53,0,1,0,3,4,4
H3,918,2011,010210,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H3,918,2011,010290,      0.00,      0.00,      0.00,      0.00,41,1,0,0,1,42
H3,918,2011,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2011,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2011,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2011,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H3,918,2011,010511,,,,,4,0,0,0,0,4
H3,918,2011,010512,,,,,1,0,0,0,0,1
H3,918,2011,010519,,,,,2,0,0,0,0,2
H3,918,2011,010594,,,,,1,0,0,0,0,1
H3,918,2011,010599,,,,,4,0,0,0,0,4
H3,918,2011,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,010619,      3.80,      0.00,      3.80,      1.90,0,1,0,1,2,2
H3,918,2011,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,010639,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H3,918,2011,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,020110,,,,,3,0,0,0,0,3
H3,918,2011,020120,,,,,11,0,0,0,0,11
H3,918,2011,020130,,,,,2,0,0,0,0,2
H3,918,2011,020210,,,,,2,0,0,0,0,2
H3,918,2011,020220,,,,,11,0,0,0,0,11
H3,918,2011,020230,,,,,16,0,0,0,0,16
H3,918,2011,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2011,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2011,020319,      0.00,      0.00,      0.00,      0.00,8,1,0,0,1,9
H3,918,2011,020321,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2011,020322,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2011,020329,      0.00,      0.00,      0.00,      0.00,9,1,0,0,1,10
H3,918,2011,020410,,,,,2,0,0,0,0,2
H3,918,2011,020421,,,,,2,0,0,0,0,2
H3,918,2011,020422,,,,,8,0,0,0,0,8
H3,918,2011,020423,,,,,4,0,0,0,0,4
H3,918,2011,020430,,,,,2,0,0,0,0,2
H3,918,2011,020441,,,,,2,0,0,0,0,2
H3,918,2011,020442,,,,,8,0,0,0,0,8
H3,918,2011,020443,,,,,4,0,0,0,0,4
H3,918,2011,020450,,,,,14,0,0,0,0,14
H3,918,2011,020500,     10.20,      5.10,      5.10,      5.10,0,0,0,2,2,2
H3,918,2011,020610,      0.00,      0.00,      0.00,      0.00,2,2,0,0,2,4
H3,918,2011,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,020622,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,020629,      0.00,      0.00,      0.00,      0.00,10,2,0,0,2,12
H3,918,2011,020630,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H3,918,2011,020641,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H3,918,2011,020649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,020680,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H3,918,2011,020690,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H3,918,2011,020711,,,,,3,0,0,0,0,3
H3,918,2011,020712,,,,,2,0,0,0,0,2
H3,918,2011,020713,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H3,918,2011,020714,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H3,918,2011,020724,,,,,2,0,0,0,0,2
H3,918,2011,020725,,,,,2,0,0,0,0,2
H3,918,2011,020726,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H3,918,2011,020727,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H3,918,2011,020732,,,,,6,0,0,0,0,6
H3,918,2011,020733,,,,,5,0,0,0,0,5
H3,918,2011,020734,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H3,918,2011,020735,     12.80,      6.40,      6.40,      6.40,23,0,0,2,2,25
H3,918,2011,020736,      6.40,      0.00,      6.40,      2.13,23,2,0,1,3,26
H3,918,2011,020810,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H3,918,2011,020830,      9.00,      9.00,      9.00,      9.00,0,0,0,1,1,1
H3,918,2011,020840,     15.40,      6.40,      9.00,      7.70,0,0,0,2,2,2
H3,918,2011,020850,      9.00,      9.00,      9.00,      9.00,0,0,0,1,1,1
H3,918,2011,020890,     46.20,      0.00,      9.00,      6.60,0,1,0,6,7,7
H3,918,2011,020900,,,,,4,0,0,0,0,4
H3,918,2011,021011,     15.40,     15.40,     15.40,     15.40,4,0,0,1,1,5
H3,918,2011,021012,     15.40,     15.40,     15.40,     15.40,2,0,0,1,1,3
H3,918,2011,021019,     15.40,     15.40,     15.40,     15.40,12,0,0,1,1,13
H3,918,2011,021020,,,,,3,0,0,0,0,3
H3,918,2011,021091,     15.40,     15.40,     15.40,     15.40,0,0,0,1,1,1
H3,918,2011,021092,     15.40,     15.40,     15.40,     15.40,0,0,0,1,1,1
H3,918,2011,021093,     15.40,     15.40,     15.40,     15.40,0,0,0,1,1,1
H3,918,2011,021099,     71.80,      0.00,     15.40,     10.26,10,1,0,6,7,17
H3,918,2011,030110,      7.50,      0.00,      7.50,      3.75,0,1,0,1,2,2
H3,918,2011,030191,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H3,918,2011,030192,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,030193,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H3,918,2011,030194,     16.00,     16.00,     16.00,     16.00,0,0,0,1,1,1
H3,918,2011,030195,     16.00,     16.00,     16.00,     16.00,0,0,0,1,1,1
H3,918,2011,030199,    156.00,      2.00,     16.00,     13.00,0,0,0,12,12,12
H3,918,2011,030211,     44.00,      8.00,     12.00,     11.00,0,0,0,4,4,4
H3,918,2011,030212,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H3,918,2011,030219,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H3,918,2011,030221,     31.00,      8.00,     15.00,     10.33,0,0,0,3,3,3
H3,918,2011,030222,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H3,918,2011,030223,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H3,918,2011,030229,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H3,918,2011,030231,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030232,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030233,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030234,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030235,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030236,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030239,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030240,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H3,918,2011,030250,     48.00,     12.00,     12.00,     12.00,0,0,0,4,4,4
H3,918,2011,030261,     51.00,     13.00,     23.00,     17.00,0,0,0,3,3,3
H3,918,2011,030262,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H3,918,2011,030263,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H3,918,2011,030264,     40.00,     20.00,     20.00,     20.00,0,0,0,2,2,2
H3,918,2011,030265,     28.00,      6.00,      8.00,      7.00,0,0,0,4,4,4
H3,918,2011,030266,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2011,030267,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H3,918,2011,030268,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H3,918,2011,030269,    392.50,      0.00,     22.00,     11.89,0,1,0,32,33,33
H3,918,2011,030270,     60.00,     10.00,     10.00,     10.00,0,0,0,6,6,6
H3,918,2011,030311,      2.00,      2.00,      2.00,      2.00,0,0,0,1,1,1
H3,918,2011,030319,      2.00,      2.00,      2.00,      2.00,0,0,0,1,1,1
H3,918,2011,030321,     45.00,      9.00,     12.00,     11.25,0,0,0,4,4,4
H3,918,2011,030322,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H3,918,2011,030329,     18.00,      9.00,      9.00,      9.00,0,0,0,2,2,2
H3,918,2011,030331,     30.00,      7.50,     15.00,     10.00,0,0,0,3,3,3
H3,918,2011,030332,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H3,918,2011,030333,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H3,918,2011,030339,     45.00,      7.50,     15.00,     11.25,0,0,0,4,4,4
H3,918,2011,030341,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030342,     22.00,      0.00,     22.00,      4.40,0,4,0,1,5,5
H3,918,2011,030343,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030344,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030345,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030346,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030349,     22.00,      0.00,     22.00,     11.00,0,1,0,1,2,2
H3,918,2011,030351,     45.00,     15.00,     15.00,     15.00,0,0,0,3,3,3
H3,918,2011,030352,     72.00,     12.00,     12.00,     12.00,0,0,0,6,6,6
H3,918,2011,030361,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H3,918,2011,030362,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H3,918,2011,030371,     51.00,     13.00,     23.00,     17.00,0,0,0,3,3,3
H3,918,2011,030372,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H3,918,2011,030373,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
