Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,"Importations de biens et services, volume",M3,Prix à la consommation,Production volume,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff,tariff_lag1,delta_tariff
Russian Federation,RUS,2013,1.515955149095893,-0.884825390711416,3.53925376572918,45.482010615332754,43.513923187661796,47.218050189264304,1.75542206417974,31.858979352391017,6.174999999999999,7.37,6.84,0.5300000000000002
Russian Federation,RUS,2013,1.515955149095893,-0.884825390711416,3.53925376572918,45.482010615332754,43.513923187661796,47.218050189264304,1.75542206417974,31.858979352391017,6.174999999999999,6.21,7.37,-1.1600000000000001
Russian Federation,RUS,2014,2.790907984554678,-0.763531827705399,-7.26060272314282,48.758981667414744,47.18886195012873,48.737539973983964,0.73626728317556,38.59415046977539,6.174999999999999,6.43,6.21,0.21999999999999975
Russian Federation,RUS,2014,2.790907984554678,-0.763531827705399,-7.26060272314282,48.758981667414744,47.18886195012873,48.737539973983964,0.73626728317556,38.59415046977539,6.174999999999999,5.37,6.43,-1.0599999999999996
Russian Federation,RUS,2015,5.006519564391128,17.7824216578341,-25.038887127194,59.0979738834043,57.7671996533046,52.819568088698034,-1.97271925256698,61.26249891669647,6.174999999999999,5.54,5.37,0.16999999999999993
Russian Federation,RUS,2015,5.006519564391128,17.7824216578341,-25.038887127194,59.0979738834043,57.7671996533046,52.819568088698034,-1.97271925256698,61.26249891669647,6.174999999999999,3.08,5.54,-2.46
Russian Federation,RUS,2016,1.748604446443183,14.6625376519437,-3.6719937654449,62.839723734233445,57.04243556528779,51.395756262845076,0.193671101211002,67.04974231676447,6.174999999999999,4.56,3.08,1.4799999999999995
Russian Federation,RUS,2016,1.748604446443183,14.6625376519437,-3.6719937654449,62.839723734233445,57.04243556528779,51.395756262845076,0.193671101211002,67.04974231676447,6.174999999999999,3.62,4.56,-0.9399999999999995
Russian Federation,RUS,2017,1.9861979518068136,5.66396044004407,17.315102729158,59.25194853432119,57.33425040001977,55.37543309242505,1.82580927627059,58.32545241019861,6.174999999999999,4.45,3.62,0.8300000000000001
Russian Federation,RUS,2017,1.9861979518068136,5.66396044004407,17.315102729158,59.25194853432119,57.33425040001977,55.37543309242505,1.82580927627059,58.32545241019861,6.174999999999999,3.61,4.45,-0.8400000000000003
Russian Federation,RUS,2018,6.916341828533044,13.3297423958359,2.6571117296753,67.71700721127124,58.528981899030434,56.572492225183055,2.80724545455074,62.80536836327559,6.174999999999999,4.38,3.61,0.77
Russian Federation,RUS,2018,6.916341828533044,13.3297423958359,2.6571117296753,67.71700721127124,58.528981899030434,56.572492225183055,2.80724545455074,62.80536836327559,6.174999999999999,3.51,4.38,-0.8700000000000001
Russian Federation,RUS,2019,4.138029068402762,16.2052775145306,3.41223231658686,73.00079361244654,61.877137815994196,58.49130123317012,2.03298258767162,64.71092720742361,6.174999999999999,7.4,3.51,3.8900000000000006
Russian Federation,RUS,2019,4.138029068402762,16.2052775145306,3.41223231658686,73.00079361244654,61.877137815994196,58.49130123317012,2.03298258767162,64.71092720742361,6.174999999999999,5.34,7.4,-2.0600000000000005
Russian Federation,RUS,2020,2.443479396577928,6.98919096255566,-11.9782124108623,83.02653475241475,63.34967267156458,56.38247764293335,-2.9512736778162,72.32429872110076,6.174999999999999,4.87,5.34,-0.46999999999999975
Russian Federation,RUS,2020,2.443479396577928,6.98919096255566,-11.9782124108623,83.02653475241475,63.34967267156458,56.38247764293335,-2.9512736778162,72.32429872110076,6.174999999999999,4.07,4.87,-0.7999999999999998
Russian Federation,RUS,2021,2.443479396577928,30.6854094498778,-11.9782124108623,91.87714995073277,69.13379457750591,62.034795837729796,-2.9512736778162,73.70564308174134,6.174999999999999,5.11,4.07,1.04
Russian Federation,RUS,2021,2.443479396577928,30.6854094498778,-11.9782124108623,91.87714995073277,69.13379457750591,62.034795837729796,-2.9512736778162,73.70564308174134,6.174999999999999,4.17,5.11,-0.9400000000000004
Russian Federation,RUS,2022,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,69.13379457750591,62.034795837729796,-2.9512736778162,69.91689013771251,6.174999999999999,4.17,4.17,0.0
Saudi Arabia,SAU,1988,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,69.13379457750591,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,4.17,,
Saudi Arabia,SAU,1989,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,69.13379457750591,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,4.17,4.17,0.0
Saudi Arabia,SAU,1990,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,69.13379457750591,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,4.17,4.17,0.0
Saudi Arabia,SAU,1991,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,69.13379457750591,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,4.17,4.17,0.0
Saudi Arabia,SAU,1992,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,69.13379457750591,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,10.72,4.17,6.550000000000001
Saudi Arabia,SAU,1993,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,66.80830613378792,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,10.72,10.72,0.0
Saudi Arabia,SAU,1994,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,66.80830613378792,62.034795837729796,-2.9512736778162,3.75,6.174999999999999,10.72,10.72,0.0
Saudi Arabia,SAU,1995,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,66.80830613378792,62.034795837729796,-2.9512736778162,3.7505801567695585,6.174999999999999,10.876000000000001,10.72,0.15600000000000058
Saudi Arabia,SAU,1996,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,34.423409836890805,62.034795837729796,-2.9512736778162,3.750450945981557,6.174999999999999,11.032,10.876000000000001,0.1559999999999988
Saudi Arabia,SAU,1997,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,33.86027468388834,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,11.188,11.032,0.15600000000000058
Saudi Arabia,SAU,1998,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,33.5204576807266,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,11.344,11.188,0.1559999999999988
Saudi Arabia,SAU,1999,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,32.58965840767205,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,11.5,11.344,0.15600000000000058
Saudi Arabia,SAU,2000,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,32.319899765840816,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,12.48,11.5,0.9800000000000004
Saudi Arabia,SAU,2001,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,31.95333451771756,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,11.12,12.48,-1.3600000000000012
Saudi Arabia,SAU,2002,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,32.71777004437147,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,6.53,11.12,-4.589999999999999
Saudi Arabia,SAU,2003,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,33.0998120895763,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,7.28,6.53,0.75
Saudi Arabia,SAU,2004,2.443479396577928,-34.4680654767119,-11.9782124108623,100.35354635819381,33.22052346766072,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,7.01,7.28,-0.27000000000000046
Saudi Arabia,SAU,2005,27.389526532000858,-34.4680654767119,-11.9782124108623,100.35354635819381,33.36035488439607,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,4.35,7.01,-2.66
Saudi Arabia,SAU,2005,27.389526532000858,-34.4680654767119,-11.9782124108623,100.35354635819381,33.36035488439607,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,4.05,4.35,-0.2999999999999998
Saudi Arabia,SAU,2006,27.389526532000858,-34.4680654767119,-11.9782124108623,100.35354635819381,34.95689214309554,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,4.41,4.05,0.3600000000000003
Saudi Arabia,SAU,2006,27.389526532000858,-34.4680654767119,-11.9782124108623,100.35354635819381,34.95689214309554,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,4.12,4.41,-0.29000000000000004
Saudi Arabia,SAU,2007,23.912855512621466,-34.4680654767119,-11.9782124108623,100.35354635819381,37.347203811235794,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,4.06,4.12,-0.0600000000000005
Saudi Arabia,SAU,2007,23.912855512621466,-34.4680654767119,-11.9782124108623,100.35354635819381,37.347203811235794,62.034795837729796,-2.9512736778162,3.750999999999999,6.174999999999999,3.77,4.06,-0.2899999999999996
