,Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,"Importations de biens et services, volume",M3,Prix à la consommation,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff,tariff_lag1,delta_tariff
1349,Slovenia,SVN,2002,1.0130016072895145,52.8415300546448,5.625376773009116,,40.31788885351878,3.2825838428843253,1.00254896233239,6.34166666666667,1.65,10.0,-8.35
1350,Slovenia,SVN,2003,-0.7568399879422699,16.5883446549875,6.464488486128978,,41.37749877543115,3.1950310739869496,0.864275580036722,6.7,1.72,1.65,0.07
1351,Slovenia,SVN,2004,-2.6842297215439146,35.163214939331,13.968162953081883,,41.788987971247565,4.5460221878822065,0.802797946920381,6.34166666666667,2.24,1.72,0.5200000000000002
1352,Slovenia,SVN,2005,-1.812388931862968,1.84570427711884,7.3368931607246655,,42.19866732824908,3.854126250738924,0.80414719301174,6.54166666666667,2.46,2.24,0.2199999999999997
1353,Slovenia,SVN,2006,-1.7453955542649262,,12.38855920536048,,43.20896222097931,5.908781909489798,0.797154064429978,5.99166666666667,2.3,2.46,-0.1600000000000001
1354,Slovenia,SVN,2007,-3.941360097289193,79.7014333610824,17.05726752863879,,45.34416448308721,7.139232376520998,0.730485427146717,4.85833333333333,2.24,2.3,-0.0599999999999996
1355,Slovenia,SVN,2008,-5.397606301492375,-22.0808550687742,4.090181488203269,,48.79662856953637,3.3722380802142276,0.683982339822684,4.39166666666667,1.72,2.24,-0.5200000000000002
1356,Slovenia,SVN,2009,-1.1530802115659524,-42.1045154040548,-18.3853643713585,,46.778381123396926,-7.590586534737884,0.719800423489554,5.85,1.85,1.72,0.1300000000000001
1357,Slovenia,SVN,2010,-0.7409788692844623,-8.59159770781283,6.952387355575383,,48.094335110685684,1.1121376278250268,0.755043518257105,7.25833333333333,2.13,1.85,0.2799999999999998
1358,Slovenia,SVN,2011,-0.797170384335175,-18.589016852251,5.026892686091015,,48.9460091930429,0.6554389554158088,0.719158754470168,8.18333333333333,1.59,2.13,-0.5399999999999998
1359,Slovenia,SVN,2012,1.3989267506545668,-21.812326143332,-3.1747019479594116,,50.59120693019504,-2.915538584832263,0.778006210395884,8.85,1.46,1.59,-0.1300000000000001
1360,Slovenia,SVN,2013,3.5793975617445812,10.333289247454,1.7710537600076044,,51.04918376274296,-0.8237773685180294,0.753297658306669,10.1083333333333,1.49,1.46,0.03
1361,Slovenia,SVN,2014,5.243984646599497,23.1396350859808,3.966140760442426,,50.364255246618946,2.7628331960154333,0.753695140645586,9.7,2.03,1.49,0.5399999999999998
1362,Slovenia,SVN,2015,4.124365516797683,-3.14631801077507,5.27285065128784,,49.73764052375607,2.3933066389971738,0.901451643908024,8.98333333333333,2.02,2.03,-0.0099999999999997
1363,Slovenia,SVN,2016,5.175182554908879,-5.01612593416509,6.626984333804664,,49.94541689583146,3.034415893517961,0.904281526915114,8.00833333333333,2.09,2.02,0.0699999999999998
1364,Slovenia,SVN,2017,6.7060685721253535,11.0477522970836,10.671717213492654,,51.401637049929974,5.174402771197001,0.887107173889516,6.575,1.96,2.09,-0.1299999999999999
1365,Slovenia,SVN,2018,6.407521191411119,7.04287983059821,7.086747754307833,,52.43763764327441,4.379083190237602,0.847324485146496,5.125,1.83,1.96,-0.1299999999999999
1366,Slovenia,SVN,2019,6.438151817716146,3.06017685110086,4.668943687545001,,53.22442797043818,3.505252065880146,0.893348371188594,4.44166666666667,1.84,1.83,0.01
1367,Slovenia,SVN,2020,7.456986773267121,-1.42040137855713,-9.117377125574295,,52.35298825878622,-4.084999797076726,0.877541570440429,4.98333333333333,1.48,1.84,-0.3600000000000001
1368,Slovenia,SVN,2021,3.6194993824296704,29.2302360199347,17.782056584016395,,54.34311586377983,8.416862991682658,0.845553392731664,4.775,1.39,1.48,-0.09
1369,Slovenia,SVN,2022,-0.9032883719486388,2.53653759228565,9.25494331241646,,62.51726610041375,2.6685068603561044,0.950882523746784,4.025,1.33,1.39,-0.0599999999999998
1370,South Africa,ZAF,1988,2.4481295760011617,-24.869628814457,,13.75115055598762,13.842439502534354,,2.273226902583333,,13.39,,
1371,South Africa,ZAF,1989,1.343438770685891,33.6680468816054,,14.997400669014837,15.915944967723245,,2.6227479676666667,,,13.39,
1372,South Africa,ZAF,1990,1.1826031127423111,9.39231855782236,,11.21117336508652,16.935516592031007,,2.587868434666667,,10.5,,
1373,South Africa,ZAF,1991,1.0192814346533106,7.05989632576901,,10.21389305535532,18.941386946956523,,2.7612398495833332,,11.32,10.5,0.8200000000000003
1374,South Africa,ZAF,1992,1.3594123261023767,5.30760242283756,,7.9114853683365896,19.775585335395682,,2.8518268456666664,,,11.32,
1375,South Africa,ZAF,1993,1.8703615246963,14.4675815226808,7.01735564677958,5.82649770405047,18.94450613022928,1.270130846398076,3.266857151,,13.45,,
1376,South Africa,ZAF,1994,0.0239949847627688,40.4213985809479,16.092832725079493,10.772661583662853,19.814120985337567,3.2000000000010367,3.549837649166666,,,13.45,
1377,South Africa,ZAF,1995,-1.4384179287227097,2.64814039880675,16.79080833937586,11.770905366555311,21.017057872235835,3.1000000000167485,3.627051547418011,,,,
1378,South Africa,ZAF,1996,-1.0146842230322255,20.6604486499043,8.710615131366492,14.628417288599131,21.58034438860237,4.299999999958458,4.297231195767748,,8.27,,
1379,South Africa,ZAF,1997,-1.2869083753786692,3.4582631189678,5.385159252669394,14.640163512069186,23.7414495005403,2.600000000025304,4.607529805848338,,5.99,8.27,-2.2799999999999994
1380,South Africa,ZAF,1998,-1.5047966972775295,-5.39217014119939,2.0136269194591985,14.895101795725271,24.220596743499126,0.5000000000007674,5.533908622511483,,,5.99,
1381,South Africa,ZAF,1999,-0.3971541427830631,5.61930951524367,-8.361797655567624,12.225506749084419,24.447796064960166,2.3999999999836934,6.113748891452116,,5.47,,
1382,South Africa,ZAF,2000,-0.068903551307559,6.154747819709,5.33755159020442,12.862942174047504,25.693465074709813,4.2000000000431905,6.936363395438981,,5.27,5.47,-0.2000000000000001
1383,South Africa,ZAF,2001,0.2885347550001915,11.7198694834467,0.249889199767839,16.792117053374803,27.187743691710082,2.6999999999593554,8.608837648496515,,5.1,5.27,-0.1699999999999999
1384,South Africa,ZAF,2002,0.8330196544651499,16.7974941120094,5.341588908187197,21.56001048564845,31.394856214259725,3.700374403416243,10.523263335983232,,4.95,5.1,-0.1499999999999994
1385,South Africa,ZAF,2003,-0.7653156092408985,-13.7699647573139,8.084819505231986,20.431838998655135,31.000634227566234,2.949075466902138,7.569261367821728,,5.15,4.95,0.2000000000000001
1386,South Africa,ZAF,2004,-2.461697266856329,23.9469141448473,15.507868974212789,21.75445642399075,27.62002682378495,4.554559906803278,6.454161721380472,,5.29,5.15,0.1399999999999996
1387,South Africa,ZAF,2005,-2.829999714721823,33.8647542695146,10.879259601242794,25.583992871970608,29.574364972229485,5.277051974333541,6.364473923160172,,5.64,5.29,0.3499999999999996
1388,South Africa,ZAF,2006,-4.056757853299249,43.8700315088009,18.261114963397517,33.07656471007841,31.090799284808618,5.603806116104656,6.76981640083386,,5.29,5.64,-0.3499999999999996
1389,South Africa,ZAF,2007,-4.956581899786432,33.0523587421419,9.366345355428184,38.17338475322678,34.378276833839244,5.360473788526578,7.055916497943642,,4.81,5.29,-0.4800000000000004
1390,South Africa,ZAF,2008,-5.06317712615643,-4.84347569688315,2.8090973357468427,41.36194193543016,39.345143208519644,3.191044626654716,8.262805737074075,,3.9,4.81,-0.9099999999999996
1391,South Africa,ZAF,2009,-2.4316972783622517,-13.3448755882023,-17.65993545707629,37.52051738977576,40.49838732820524,-1.5380889571255296,8.41739905742205,,4.32,3.9,0.4200000000000004
1392,South Africa,ZAF,2010,-1.4159200038165332,22.6668038243211,10.793741503547912,36.66683215711727,40.41315299395283,3.039732306834797,7.3051546270155,,4.59,4.32,0.2699999999999996
1393,South Africa,ZAF,2011,-1.9426792811307068,10.6951301458424,11.838457818944256,40.77816840194447,42.799129694106085,3.1685562788814057,7.249075301932365,,4.39,4.59,-0.2000000000000001
1394,South Africa,ZAF,2012,-4.681444719909908,11.0117444459691,3.868340438808484,43.30392974190972,45.48001674509953,2.3962323844244815,8.20239227523684,,4.22,4.39,-0.1699999999999999
1395,South Africa,ZAF,2013,-5.372589945006488,19.0062105221177,4.038730712010872,46.74855163795625,47.96410524993977,2.48546800897221,9.647726751717483,,4.15,4.22,-0.0699999999999994
1396,South Africa,ZAF,2014,-4.88451249985126,17.6491617422205,-0.6870395233424268,49.54350453271209,50.904748316979216,1.4138264512240026,10.84617888026226,,3.87,4.15,-0.2800000000000002
1397,South Africa,ZAF,2015,-4.361800133957677,5.44772202307074,5.044861331699255,54.34069926978164,52.25934547446255,1.3218622370799542,12.764715893641382,,4.38,3.87,0.5099999999999998
1398,South Africa,ZAF,2016,-2.6888757177500966,-0.760401804070676,-4.133248422876923,56.65294288798613,56.602908423948655,0.6645523078786297,14.703304354492134,,4.51,4.38,0.1299999999999999
1399,South Africa,ZAF,2017,-2.446675303289497,6.45837786607452,1.5324305981381323,59.889327900909834,58.65886034168469,1.157946951139297,13.30580655777495,,4.61,4.51,0.1000000000000005
1400,South Africa,ZAF,2018,-2.9717031671717486,2.94243681845339,3.4791947540260897,63.34515771214802,60.84919808249233,1.5567838465111157,13.247603507395375,,4.32,4.61,-0.29
1401,South Africa,ZAF,2019,-2.536208001745504,-0.339412478945755,0.5531564771315952,68.1516359083279,63.04972224616466,0.2599355770758612,14.447194659012483,,5.37,4.32,1.0499999999999998
1402,South Africa,ZAF,2020,1.792550801560008,-3.6866816934608,-17.571793823956916,75.38484821377939,64.58619284797473,-6.1689177132214885,16.461386925975603,,4.4,5.37,-0.9699999999999998
1403,South Africa,ZAF,2021,3.7139400806628102,23.9631013607699,9.703425232743434,75.59218042143205,68.18779536297886,4.858648648915654,14.783072210811524,,4.46,4.4,0.0599999999999996
1404,South Africa,ZAF,2022,-0.4627923722138325,5.54250423366231,14.974434977191398,83.30918194716656,74.03611610857284,2.0581366170510353,16.36616774844719,,4.66,4.46,0.2000000000000001
1405,Spain,ESP,1988,,11.0163899282166,,,23.785208199032155,,0.700033256003109,18.6916666666667,,,
1406,Spain,ESP,1989,,8.78841366825074,,,26.21339015332606,,0.711585259577128,16.5416666666667,,,
1407,Spain,ESP,1990,,-12.486409727307,,,27.712346034284202,,0.612687165186174,15.4583333333333,,,
1408,Spain,ESP,1991,,0.365097676305424,,,28.76360879123049,,0.624646855304332,15.5,,,
1409,Spain,ESP,1992,,-12.0463932500537,,,30.28708857392666,,0.615431436539132,17.0166666666667,,,
1410,Spain,ESP,1993,,14.7116161344176,,,30.857850339022068,,0.764744730125532,20.8416666666667,,,
1411,Spain,ESP,1994,,18.458148676732,,,32.280727851247164,,0.805118870177379,22.05,,,
1412,Spain,ESP,1995,-1.4523123438687142,-6.17641774640146,,,33.65689619612626,,0.749375899013939,20.75,,,
1413,Spain,ESP,1996,-0.9516199440430873,22.0674662288693,7.306880686338935,,34.214045285248545,2.6075421244030035,0.761427543984069,19.8916666666667,,,
1414,Spain,ESP,1997,-0.8144144276115283,52.7312993828941,12.890725744055288,,34.0594744383321,3.587167519842564,0.879955344800644,18.3916666666667,,,
1415,Spain,ESP,1998,-1.6571392503056446,46.6921027351326,14.04257263448875,,34.59778601691106,4.301977453335806,,16.4083333333333,,,
1416,Spain,ESP,1999,-3.2197405209147827,10.5004437909425,13.686672409303084,,35.61393224586375,4.4088654530592395,0.938562898111359,13.6,,,
1417,Spain,ESP,2000,-4.272954494487209,12.5685361680874,9.572916896103598,,37.3586651479385,5.200754391661405,1.0850960701302,11.9166666666667,2.41,,
1418,Spain,ESP,2001,-4.336223035857589,-15.2175100742031,3.6536729705390423,,38.71630868364724,3.918977050308647,1.11663108833636,10.5583333333333,3.37,2.41,0.96
1419,Spain,ESP,2002,-3.671640011790983,-14.8064397389971,3.6773147573538663,,39.5861032615783,2.755456115640989,1.06106513282085,11.4416666666667,2.45,3.37,-0.92
1420,Spain,ESP,2003,-3.8971817807897065,-3.01505349232998,6.031686650081362,,40.72911573129513,2.9392895953076184,0.885163216727309,11.4916666666667,2.52,2.45,0.0699999999999998
1421,Spain,ESP,2004,-5.475850266242618,21.9375666915215,9.668769493486886,,41.92097541563448,3.114531479916085,0.804862094234843,10.9583333333333,2.24,2.52,-0.2799999999999998
1422,Spain,ESP,2005,-7.148440654833249,23.2777041805691,6.960351572553663,,43.446804467344705,3.551130703091055,0.804619415077062,9.16666666666667,2.46,2.24,0.2199999999999997
1423,Spain,ESP,2006,-8.708482724437465,24.947684683679,8.212845184634864,,44.98837402667153,4.043438860957714,0.796697220760242,8.45833333333334,2.3,2.46,-0.1600000000000001
1424,Spain,ESP,2007,-9.342311430895558,23.1579814929925,8.238829036167344,,45.82873374725498,3.533591310275099,0.730485427146717,8.225,2.24,2.3,-0.0599999999999996
1425,Spain,ESP,2008,-8.737075816653695,-21.6876105023813,-5.5077770901330965,,48.283899172986615,0.7672508093560475,0.683982339822683,11.2666666666667,1.72,2.24,-0.5200000000000002
1426,Spain,ESP,2009,-3.974956396097961,-18.3545402004183,-18.302284184637127,,45.969218258065375,-3.768214301994026,0.719800423489554,17.8666666666667,1.85,1.72,0.1300000000000001
1427,Spain,ESP,2010,-3.5674949918074597,3.30475703488284,6.198543671557685,,47.843030887229496,0.0942100304735243,0.755043518257105,19.875,2.13,1.85,0.2799999999999998
1428,Spain,ESP,2011,-2.665564174054275,-9.70701084236995,-0.5920069662618743,,50.04149880350829,-0.639920075717733,0.719158754470168,21.4083333333333,1.59,2.13,-0.5399999999999998
1429,Spain,ESP,2012,0.1461623214374939,-20.92082643453,-5.864577786320397,,50.85150042800486,-2.86528756070412,0.778006210395884,24.7916666666667,1.46,1.59,-0.1300000000000001
1430,Spain,ESP,2013,2.0184563160639675,14.3145571841408,-0.2788275185689796,,51.03178383502356,-1.4271419387410496,0.753297658306669,26.1166666666667,1.49,1.46,0.03
1431,Spain,ESP,2014,1.7727453705631409,21.2245969239632,6.802878644459248,,50.17588356062941,1.5203924187642532,0.753695140645586,24.45,2.03,1.49,0.5399999999999998
1432,Spain,ESP,2015,2.113126153959599,1.34846039307946,5.091691940223439,,49.749817145048354,4.06095746225319,0.901451643908024,22.075,2.02,2.03,-0.0099999999999997
1433,Spain,ESP,2016,3.214365471263842,-18.5917107100908,2.6457447381170285,,49.797401999573594,2.915066247542142,0.904281526915114,19.65,2.09,2.02,0.0699999999999998
1434,Spain,ESP,2017,2.804582243200665,17.4985079151548,6.695743124932615,,51.85279584765683,2.8960420786500767,0.887107173889516,17.2333333333333,1.96,2.09,-0.1299999999999999
1435,Spain,ESP,2018,1.9105443292486983,-6.12394469308922,3.888426197725382,,52.56439107764996,2.3954112447887796,0.847324485146496,15.2666666666667,1.83,1.96,-0.1299999999999999
1436,Spain,ESP,2019,2.1751665709780346,-4.88248556030318,1.3184213638932338,,52.43849938405634,1.9612589241342016,0.893348371188594,14.1083333333333,1.84,1.83,0.01
1437,Spain,ESP,2020,1.0632442370372075,-18.3293197059623,-15.148480689857328,,51.75924539851916,-10.940140875618232,0.877541570440429,15.5333333333333,1.48,1.84,-0.3600000000000001
1438,Spain,ESP,2021,0.8346649293200573,14.3851079731649,14.98113599814109,,55.073164457661534,6.683144204730007,0.845553392731664,14.933333333333335,1.39,1.48,-0.09
1439,Spain,ESP,2022,,-4.61939212928733,,,62.213075043920185,,0.950882523746784,13.033333333333331,1.33,1.39,-0.0599999999999998
1440,Sweden,SWE,1988,,9.15076714129069,,10.987525437527513,31.10746815793596,,6.12875986851993,1.8,0.99,,
1441,Sweden,SWE,1989,,38.9410541621573,,13.112999833446553,33.23333959797101,,6.44622656923115,1.55833333333333,4.31,0.99,3.3199999999999994
1442,Sweden,SWE,1990,,-4.96422514600304,,15.04696324272628,38.3061574301155,,5.91836925388358,1.71666666666667,,4.31,
1443,Sweden,SWE,1991,,-8.39662239154816,,16.76508233524843,40.9735270471658,,6.04546458315185,3.1,,,
1444,Sweden,SWE,1992,,-14.676593016174,,12.453822909400824,38.29913394669019,,5.82302467608041,5.55833333333333,,,
1445,Sweden,SWE,1993,-1.1886900443257018,30.826686133904,-2.1597379753258914,16.12633073455405,41.23075407628638,-1.995281371638784,7.78543950420439,9.05,,,
1446,Sweden,SWE,1994,1.009527717344348,27.4881589619426,12.864068601494742,15.559757860385309,40.78453288139393,4.015785782867229,7.71570436735397,9.35833333333334,,,
1447,Sweden,SWE,1995,3.141532913045394,11.3629728204957,7.241767812767176,13.797564303558678,41.9078662987193,4.094384206753849,7.13361872263263,8.8,,,
