Country Code,year,tariff_cereales,tariff_metaux,Country Name,Balance des transactions courantes en pourcentage du PIB,Cours des actions,Emploi,"Importations de biens et services, volume",M3,Prix à la consommation,Production volume,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff_AR,tariff_FN,lag_AR,delta_AR,lag_FN,delta_FN
ESP,2011,1.3084,2.3352015355086375,Spain,-2.665564174054275,-9.70701084236995,18421.125,-0.5920069662618743,,50.04149880350829,46.07243563323883,-0.639920075717733,0.719158754470168,21.4083333333333,1.59,3.0,2.13,-0.5399999999999998,3.08,-0.08
ESP,2012,1.3144736842105265,2.4169187145557656,Spain,0.1461623214374939,-20.92082643453,17632.125,-5.864577786320397,,50.85150042800486,42.30762226547449,-2.86528756070412,0.778006210395884,24.7916666666667,1.46,2.84,1.59,-0.1300000000000001,3.0,-0.1600000000000001
ESP,2013,1.2807692307692309,2.391058601134216,Spain,2.0184563160639675,14.3145571841408,17138.825,-0.2788275185689796,,51.03178383502356,45.10394252340632,-1.4271419387410496,0.753297658306669,26.1166666666667,1.49,2.95,1.46,0.03,2.84,0.1100000000000003
ESP,2014,1.2807692307692309,2.3343238095238097,Spain,1.7727453705631409,21.2245969239632,17343.825,6.802878644459248,,50.17588356062941,52.032777653305914,1.5203924187642532,0.753695140645586,24.45,2.03,3.07,1.49,0.5399999999999998,2.95,0.1199999999999996
ESP,2015,1.2807692307692309,2.388544423440454,Spain,2.113126153959599,1.34846039307946,17865.55,5.091691940223439,,49.749817145048354,51.58274990609592,4.06095746225319,0.901451643908024,22.075,2.02,3.09,2.03,-0.0099999999999997,3.07,0.02
ESP,2016,1.2807692307692309,2.4278260869565216,Spain,3.214365471263842,-18.5917107100908,18341.2,2.6457447381170285,,49.797401999573594,53.030480675790905,2.915066247542142,0.904281526915114,19.65,2.09,3.29,2.02,0.0699999999999998,3.09,0.2000000000000001
ESP,2017,1.2807692307692309,2.386508538899431,Spain,2.804582243200665,17.4985079151548,18824.8,6.695743124932615,,51.85279584765683,53.29293849473262,2.8960420786500767,0.887107173889516,17.2333333333333,1.96,3.27,2.09,-0.1299999999999999,3.29,-0.02
ESP,2018,1.2807692307692309,2.4436723163841805,Spain,1.9105443292486983,-6.12394469308922,19327.5,3.888426197725382,,52.56439107764996,53.85788676800837,2.3954112447887796,0.847324485146496,15.2666666666667,1.83,3.11,1.96,-0.1299999999999999,3.27,-0.1600000000000001
ESP,2019,1.2807692307692309,2.475517890772128,Spain,2.1751665709780346,-4.88248556030318,19779.125,1.3184213638932338,,52.43849938405634,52.74312799224125,1.9612589241342016,0.893348371188594,14.1083333333333,1.84,3.08,1.83,0.01,3.11,-0.0299999999999998
ESP,2020,1.2807692307692309,2.495442561205273,Spain,1.0632442370372075,-18.3293197059623,19202.275,-15.148480689857328,,51.759245398519155,41.84292979408336,-10.940140875618232,0.877541570440429,15.5333333333333,1.48,2.8,1.84,-0.3600000000000001,3.08,-0.2800000000000002
ESP,2021,1.2807692307692309,2.4749717514124296,Spain,0.8346649293200573,14.3851079731649,19833.45,14.98113599814109,,55.073164457661534,50.40302645583466,6.683144204730007,0.845553392731664,14.933333333333335,1.39,2.85,1.48,-0.09,2.8,0.0500000000000002
FIN,1988,2.7142857142857144,5.414757281553398,Finland,,31.8669877009175,2420.0,,,31.605835438695976,42.64858780447543,,0.70406549462107,4.20833333333333,6.26,6.26,,,,
FIN,1989,2.7142857142857144,5.408262548262548,Finland,,8.14251875246744,2494.0,,,34.27541366663833,43.94568337406309,,0.721209450591713,3.10833333333333,,,6.26,,6.26,
FIN,1990,4.78125,5.686654205607477,Finland,,-27.1972255179337,2493.0,,,35.95880905640297,39.88401091375907,,0.642903955163341,3.16666666666667,6.37,6.37,,,,
FIN,1991,4.9375,5.646119402985075,Finland,,-27.6670427479002,2365.0,-13.320818993986167,,36.45650867529422,34.58580263736508,-5.880219850541465,0.68001321957102,6.60833333333333,,,6.37,,6.37,
FIN,1992,4.9375,5.688236397748593,Finland,,-19.4280762564991,2196.0,0.6978143172247795,,36.76243122335421,38.65255501277618,-3.3119036646999613,0.754461605219208,11.7083333333333,,,,,,
FIN,1993,5.020625,5.644272388059702,Finland,,59.4644009464401,2061.0,1.3620614122426318,,37.17145786974948,42.152629087393386,-0.7805480244087357,0.962163883436797,16.3416666666667,,,,,,
FIN,1994,5.020625,5.630410447761194,Finland,,49.4233492952047,2045.0,12.80892695768339,,37.01311998016797,48.83364203751005,3.963366617318171,0.878431524247934,16.5833333333333,,,,,,
FIN,1995,4.863333333333333,4.126849056603773,Finland,4.163325363350455,3.52064996614759,2090.0,8.19198216711365,,37.153013582458826,51.08435554312787,4.232659955613111,0.734496296782172,15.4,,,,,,
FIN,1996,3.1805882352941177,4.38942748091603,Finland,3.8670389833340657,6.59254414650096,2119.0,7.23368637929368,,37.303271381591934,41.59403665173786,3.661824444622092,0.77235960372682,14.5666666666667,,,,,,
FIN,1997,4.259375,4.3808206106870236,Finland,5.124037414801673,56.9231398535608,2162.0,11.87931552086462,,38.02606134958816,46.910623516586966,6.397566036677686,0.872421609009042,12.6416666666667,,,,,,
FIN,1998,3.639375,3.909942748091603,Finland,5.114736759282501,41.5739123634752,2203.45,8.471301687820327,,38.65333785142674,50.65012747863985,5.45416210945221,0.899007915484446,11.3583333333333,,,,,,
FIN,1999,3.639375,3.5024045801526715,Finland,4.911548750932628,72.1498011489174,2295.925,4.287057193746279,,38.975831488917606,49.95731151460858,4.389198510484109,0.938562898111359,10.2166666666667,,,,,,
FIN,2000,2.2105882352941175,3.253950381679389,Finland,7.2352381086599955,91.0018503069584,2335.425,14.861114405674035,,41.08376542998934,55.75903567279412,5.753634551733639,1.0850960701302,9.78333333333333,2.41,3.75,,,,
FIN,2001,3.0343750000000003,3.048435114503817,Finland,8.146263742175547,-42.4571309763067,2367.025,1.3836685803973323,,41.87203881478868,52.517967287864415,2.6402173297866214,1.11663108833636,9.125,3.37,4.07,2.41,0.96,3.75,0.3200000000000003
FIN,2002,2.1754545454545453,5.0311731843575425,Finland,8.102501298095076,-22.5557705188498,2372.35,4.291941660555693,,42.00607453671451,54.07875717386263,1.687298392655295,1.06106513282085,9.075,2.45,3.91,3.37,-0.92,4.07,-0.1600000000000001
FIN,2003,2.1754545454545453,3.7698324022346372,Finland,4.68093800615724,-14.4810897499128,2364.925,4.107502099650381,,42.02086764364739,54.958677793340655,2.01176693869804,0.885163216727309,9.00833333333333,2.52,4.01,2.45,0.0699999999999998,3.91,0.0999999999999996
FIN,2004,2.1754545454545453,2.4107532956685502,Finland,5.713384158745048,7.48859731636914,2364.65,8.123522569509595,,41.7535199745184,59.36483109097924,4.005315614617942,0.804862094234843,8.825,2.24,3.64,2.52,-0.2799999999999998,4.01,-0.3699999999999996
FIN,2005,2.1754545454545453,2.3746182495344508,Finland,3.425677028516712,17.2732699548097,2400.825,11.183023320377568,,42.23179836509366,58.853912811098816,2.77777777777777,0.804619415077062,8.4,2.46,3.54,2.24,0.2199999999999997,3.64,-0.1
FIN,2006,2.1754545454545453,2.404245810055866,Finland,3.882403360480167,24.8976063584884,2443.475,6.588947672331722,,43.35994061720149,66.0154424134689,4.019493274323085,0.796697220760242,7.71666666666667,2.3,3.33,2.46,-0.1600000000000001,3.54,-0.2099999999999999
FIN,2007,1.2424,2.3681573896353165,Finland,4.145938634781865,24.3963219173454,2491.625,7.382245713700054,,44.90089689897019,70.38646670456558,5.313178250102773,0.730485427146717,6.86666666666667,2.24,3.23,2.3,-0.0599999999999996,3.33,-0.1
