NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H0,918,1988,010111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1988,010119,     22.00,      4.00,     18.00,     11.00,0,0,0,2,2,2
H0,918,1988,010120,,,,,2,0,0,0,0,2
H0,918,1988,010210,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1988,010290,,,,,6,0,0,0,0,6
H0,918,1988,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1988,010391,,,,,2,0,0,0,0,2
H0,918,1988,010392,,,,,3,0,0,0,0,3
H0,918,1988,010410,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H0,918,1988,010420,,,,,2,0,0,0,0,2
H0,918,1988,010511,,,,,1,0,0,0,0,1
H0,918,1988,010519,,,,,2,0,0,0,0,2
H0,918,1988,010591,,,,,1,0,0,0,0,1
H0,918,1988,010599,,,,,4,0,0,0,0,4
H0,918,1988,010600,     16.00,      0.00,     10.00,      4.00,0,2,0,2,4,4
H0,918,1988,020110,,,,,2,0,0,0,0,2
H0,918,1988,020120,,,,,7,0,0,0,0,7
H0,918,1988,020130,,,,,1,0,0,0,0,1
H0,918,1988,020210,,,,,1,0,0,0,0,1
H0,918,1988,020220,,,,,4,0,0,0,0,4
H0,918,1988,020230,,,,,3,0,0,0,0,3
H0,918,1988,020311,      3.00,      3.00,      3.00,      3.00,1,0,0,1,1,2
H0,918,1988,020312,      3.00,      3.00,      3.00,      3.00,2,0,0,1,1,3
H0,918,1988,020319,      3.00,      3.00,      3.00,      3.00,5,0,0,1,1,6
H0,918,1988,020321,,,,,2,0,0,0,0,2
H0,918,1988,020322,      3.00,      3.00,      3.00,      3.00,2,0,0,1,1,3
H0,918,1988,020329,      3.00,      3.00,      3.00,      3.00,5,0,0,1,1,6
H0,918,1988,020410,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1988,020421,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1988,020422,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H0,918,1988,020423,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1988,020430,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1988,020441,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1988,020442,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H0,918,1988,020443,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1988,020450,    240.00,     20.00,     20.00,     20.00,0,0,0,12,12,12
H0,918,1988,020500,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H0,918,1988,020610,     11.00,      0.00,      7.00,      3.67,1,1,0,2,3,4
H0,918,1988,020621,      4.00,      4.00,      4.00,      4.00,0,0,0,1,1,1
H0,918,1988,020622,      7.00,      0.00,      7.00,      3.50,0,1,0,1,2,2
H0,918,1988,020629,      4.00,      0.00,      4.00,      2.00,1,1,0,1,2,3
H0,918,1988,020630,     14.00,      0.00,      7.00,      3.50,0,1,0,3,4,4
H0,918,1988,020641,     10.00,      0.00,      7.00,      3.33,0,1,0,2,3,3
H0,918,1988,020649,     10.00,      0.00,      7.00,      3.33,0,1,0,2,3,3
H0,918,1988,020680,     13.00,      0.00,     10.00,      4.33,0,1,0,2,3,3
H0,918,1988,020690,     13.00,      0.00,     10.00,      4.33,0,1,0,2,3,3
H0,918,1988,020710,,,,,11,0,0,0,0,11
H0,918,1988,020721,,,,,2,0,0,0,0,2
H0,918,1988,020722,,,,,2,0,0,0,0,2
H0,918,1988,020723,,,,,5,0,0,0,0,5
H0,918,1988,020731,      3.00,      3.00,      3.00,      3.00,0,0,0,1,1,1
H0,918,1988,020739,     10.00,     10.00,     10.00,     10.00,31,0,0,1,1,32
H0,918,1988,020741,,,,,8,0,0,0,0,8
H0,918,1988,020742,,,,,9,0,0,0,0,9
H0,918,1988,020743,,,,,14,0,0,0,0,14
H0,918,1988,020750,     13.00,      3.00,     10.00,      6.50,0,0,0,2,2,2
H0,918,1988,020810,     13.00,      3.00,     10.00,      6.50,0,0,0,2,2,2
H0,918,1988,020820,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H0,918,1988,020890,     37.00,      3.00,     14.00,      9.25,0,0,0,4,4,4
H0,918,1988,020900,,,,,4,0,0,0,0,4
H0,918,1988,021011,,,,,5,0,0,0,0,5
H0,918,1988,021012,,,,,3,0,0,0,0,3
H0,918,1988,021019,,,,,11,0,0,0,0,11
H0,918,1988,021020,,,,,2,0,0,0,0,2
H0,918,1988,021090,     43.00,      3.00,     20.00,     10.75,9,0,0,4,4,13
H0,918,1988,030110,     15.00,      0.00,     15.00,      7.50,0,1,0,1,2,2
H0,918,1988,030191,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H0,918,1988,030192,      3.00,      3.00,      3.00,      3.00,0,0,0,1,1,1
