NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H0,918,1991,010111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1991,010119,     27.00,      4.00,     23.00,     13.50,0,0,0,2,2,2
H0,918,1991,010120,     29.00,     12.00,     17.00,     14.50,0,0,0,2,2,2
H0,918,1991,010210,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1991,010290,      0.00,      0.00,      0.00,      0.00,5,1,0,0,1,6
H0,918,1991,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H0,918,1991,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H0,918,1991,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H0,918,1991,010410,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H0,918,1991,010420,      5.00,      5.00,      5.00,      5.00,1,0,0,1,1,2
H0,918,1991,010511,,,,,1,0,0,0,0,1
H0,918,1991,010519,,,,,2,0,0,0,0,2
H0,918,1991,010591,,,,,1,0,0,0,0,1
H0,918,1991,010599,,,,,4,0,0,0,0,4
H0,918,1991,010600,     16.00,      0.00,     10.00,      4.00,0,2,0,2,4,4
H0,918,1991,020110,,,,,2,0,0,0,0,2
H0,918,1991,020120,,,,,7,0,0,0,0,7
H0,918,1991,020130,,,,,1,0,0,0,0,1
H0,918,1991,020210,,,,,1,0,0,0,0,1
H0,918,1991,020220,,,,,4,0,0,0,0,4
H0,918,1991,020230,,,,,3,0,0,0,0,3
H0,918,1991,020311,      3.00,      3.00,      3.00,      3.00,1,0,0,1,1,2
H0,918,1991,020312,      3.00,      3.00,      3.00,      3.00,2,0,0,1,1,3
H0,918,1991,020319,      3.00,      3.00,      3.00,      3.00,5,0,0,1,1,6
H0,918,1991,020321,      7.00,      7.00,      7.00,      7.00,1,0,0,1,1,2
H0,918,1991,020322,      3.00,      3.00,      3.00,      3.00,2,0,0,1,1,3
H0,918,1991,020329,      3.00,      3.00,      3.00,      3.00,5,0,0,1,1,6
H0,918,1991,020410,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1991,020421,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1991,020422,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H0,918,1991,020423,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1991,020430,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1991,020441,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1991,020442,     80.00,     20.00,     20.00,     20.00,0,0,0,4,4,4
H0,918,1991,020443,     20.00,     20.00,     20.00,     20.00,0,0,0,1,1,1
H0,918,1991,020450,    240.00,     20.00,     20.00,     20.00,0,0,0,12,12,12
H0,918,1991,020500,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H0,918,1991,020610,     31.00,      0.00,     20.00,      7.75,0,1,0,3,4,4
H0,918,1991,020621,      4.00,      4.00,      4.00,      4.00,0,0,0,1,1,1
H0,918,1991,020622,      7.00,      0.00,      7.00,      3.50,0,1,0,1,2,2
H0,918,1991,020629,     24.00,      0.00,     20.00,      8.00,0,1,0,2,3,3
H0,918,1991,020630,     14.00,      0.00,      7.00,      3.50,0,1,0,3,4,4
H0,918,1991,020641,     10.00,      0.00,      7.00,      3.33,0,1,0,2,3,3
H0,918,1991,020649,     10.00,      0.00,      7.00,      3.33,0,1,0,2,3,3
H0,918,1991,020680,     13.00,      0.00,     10.00,      4.33,0,1,0,2,3,3
H0,918,1991,020690,     13.00,      0.00,     10.00,      4.33,0,1,0,2,3,3
H0,918,1991,020710,,,,,11,0,0,0,0,11
H0,918,1991,020721,,,,,2,0,0,0,0,2
H0,918,1991,020722,,,,,2,0,0,0,0,2
H0,918,1991,020723,,,,,5,0,0,0,0,5
H0,918,1991,020731,      3.00,      3.00,      3.00,      3.00,0,0,0,1,1,1
H0,918,1991,020739,     10.00,     10.00,     10.00,     10.00,31,0,0,1,1,32
H0,918,1991,020741,,,,,8,0,0,0,0,8
H0,918,1991,020742,,,,,9,0,0,0,0,9
H0,918,1991,020743,,,,,14,0,0,0,0,14
H0,918,1991,020750,     13.00,      3.00,     10.00,      6.50,0,0,0,2,2,2
H0,918,1991,020810,     13.00,      3.00,     10.00,      6.50,0,0,0,2,2,2
H0,918,1991,020820,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H0,918,1991,020890,     37.00,      3.00,     14.00,      9.25,0,0,0,4,4,4
H0,918,1991,020900,,,,,4,0,0,0,0,4
H0,918,1991,021011,     24.00,     24.00,     24.00,     24.00,4,0,0,1,1,5
H0,918,1991,021012,     24.00,     24.00,     24.00,     24.00,2,0,0,1,1,3
H0,918,1991,021019,     24.00,     24.00,     24.00,     24.00,10,0,0,1,1,11
H0,918,1991,021020,     48.00,     24.00,     24.00,     24.00,0,0,0,2,2,2
H0,918,1991,021090,    163.00,      3.00,     24.00,     18.11,4,0,0,9,9,13
H0,918,1991,030110,     15.00,      0.00,     15.00,      7.50,0,1,0,1,2,2
H0,918,1991,030191,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H0,918,1991,030192,      3.00,      3.00,      3.00,      3.00,0,0,0,1,1,1
H0,918,1991,030193,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H0,918,1991,030199,     26.00,      2.00,     16.00,      8.67,0,0,0,3,3,3
H0,918,1991,030211,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H0,918,1991,030212,      2.00,      2.00,      2.00,      2.00,0,0,0,1,1,1
H0,918,1991,030219,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H0,918,1991,030221,     31.00,      8.00,     15.00,     10.33,0,0,0,3,3,3
H0,918,1991,030222,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030223,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030229,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H0,918,1991,030231,     44.00,     22.00,     22.00,     22.00,0,0,0,2,2,2
H0,918,1991,030232,     44.00,     22.00,     22.00,     22.00,0,0,0,2,2,2
H0,918,1991,030233,     44.00,     22.00,     22.00,     22.00,0,0,0,2,2,2
H0,918,1991,030239,     44.00,     22.00,     22.00,     22.00,0,0,0,2,2,2
H0,918,1991,030240,     15.00,      0.00,     15.00,      7.50,0,1,0,1,2,2
H0,918,1991,030250,     27.00,     12.00,     15.00,     13.50,0,0,0,2,2,2
H0,918,1991,030261,     51.00,      0.00,     23.00,     12.75,0,1,0,3,4,4
H0,918,1991,030262,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030263,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030264,     20.00,      0.00,     20.00,     10.00,0,1,0,1,2,2
H0,918,1991,030265,     38.00,      8.00,     15.00,     12.67,0,0,0,3,3,3
H0,918,1991,030266,      3.00,      3.00,      3.00,      3.00,0,0,0,1,1,1
H0,918,1991,030269,    260.00,      8.00,     22.00,     14.44,0,0,0,18,18,18
H0,918,1991,030270,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H0,918,1991,030310,      2.00,      2.00,      2.00,      2.00,0,0,0,1,1,1
H0,918,1991,030321,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H0,918,1991,030322,      2.00,      2.00,      2.00,      2.00,0,0,0,1,1,1
H0,918,1991,030329,      9.00,      9.00,      9.00,      9.00,0,0,0,1,1,1
H0,918,1991,030331,     31.00,      8.00,     15.00,     10.33,0,0,0,3,3,3
H0,918,1991,030332,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030333,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030339,     45.00,     15.00,     15.00,     15.00,0,0,0,3,3,3
H0,918,1991,030341,     88.00,     22.00,     22.00,     22.00,0,0,0,4,4,4
H0,918,1991,030342,    172.00,     22.00,     25.00,     24.57,0,0,0,7,7,7
H0,918,1991,030343,     88.00,     22.00,     22.00,     22.00,0,0,0,4,4,4
H0,918,1991,030349,     88.00,     22.00,     22.00,     22.00,0,0,0,4,4,4
H0,918,1991,030350,     20.00,      0.00,     20.00,     10.00,0,1,0,1,2,2
H0,918,1991,030360,     42.00,     12.00,     15.00,     14.00,0,0,0,3,3,3
H0,918,1991,030371,     51.00,      0.00,     23.00,     12.75,0,1,0,3,4,4
H0,918,1991,030372,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030373,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030374,     35.00,      0.00,     20.00,     11.67,0,1,0,2,3,3
H0,918,1991,030375,     38.00,      8.00,     15.00,     12.67,0,0,0,3,3,3
H0,918,1991,030376,      3.00,      3.00,      3.00,      3.00,0,0,0,1,1,1
H0,918,1991,030377,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H0,918,1991,030378,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
H0,918,1991,030379,    309.00,      0.00,     22.00,     14.71,0,1,0,20,21,21
H0,918,1991,030380,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H0,918,1991,030410,     97.00,      0.00,     18.00,     10.78,0,1,0,8,9,9
H0,918,1991,030420,    392.00,      2.00,     18.00,     14.52,0,0,0,27,27,27
H0,918,1991,030490,    238.00,      0.00,     15.00,     13.22,0,1,0,17,18,18
H0,918,1991,030510,     13.00,     13.00,     13.00,     13.00,0,0,0,1,1,1
H0,918,1991,030520,     11.00,     11.00,     11.00,     11.00,0,0,0,1,1,1
H0,918,1991,030530,     82.00,     15.00,     20.00,     16.40,0,0,0,5,5,5
H0,918,1991,030541,     13.00,     13.00,     13.00,     13.00,0,0,0,1,1,1
H0,918,1991,030542,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H0,918,1991,030549,     87.00,     14.00,     16.00,     14.50,0,0,0,6,6,6
H0,918,1991,030551,     26.00,     13.00,     13.00,     13.00,0,0,0,2,2,2
H0,918,1991,030559,     87.00,     10.00,     15.00,     12.43,0,0,0,7,7,7
H0,918,1991,030561,     12.00,     12.00,     12.00,     12.00,0,0,0,1,1,1
H0,918,1991,030562,     13.00,     13.00,     13.00,     13.00,0,0,0,1,1,1
H0,918,1991,030563,     10.00,     10.00,     10.00,     10.00,0,0,0,1,1,1
H0,918,1991,030569,     63.00,     11.00,     15.00,     12.60,0,0,0,5,5,5
H0,918,1991,030611,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H0,918,1991,030612,     24.00,      8.00,     16.00,     12.00,0,0,0,2,2,2
H0,918,1991,030613,     48.00,     12.00,     18.00,     16.00,0,0,0,3,3,3
H0,918,1991,030614,     38.00,      8.00,     15.00,     12.67,0,0,0,3,3,3
H0,918,1991,030619,     39.00,     12.00,     15.00,     13.00,0,0,0,3,3,3
H0,918,1991,030621,     25.00,     25.00,     25.00,     25.00,0,0,0,1,1,1
H0,918,1991,030622,     36.00,      8.00,     20.00,     12.00,0,0,0,3,3,3
H0,918,1991,030623,     66.00,     12.00,     18.00,     16.50,0,0,0,4,4,4
H0,918,1991,030624,     38.00,      8.00,     15.00,     12.67,0,0,0,3,3,3
H0,918,1991,030629,     39.00,     12.00,     15.00,     13.00,0,0,0,3,3,3
H0,918,1991,030710,     18.00,      0.00,     18.00,      9.00,0,1,0,1,2,2
H0,918,1991,030721,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H0,918,1991,030729,     16.00,      8.00,      8.00,      8.00,0,0,0,2,2,2
H0,918,1991,030731,     18.00,      8.00,     10.00,      9.00,0,0,0,2,2,2
