NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H5,918,2019,010121,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010129,     11.50,      0.00,     11.50,      5.75,0,1,0,1,2,2
H5,918,2019,010130,      7.70,      7.70,      7.70,      7.70,0,0,0,1,1,1
H5,918,2019,010190,     10.90,     10.90,     10.90,     10.90,0,0,0,1,1,1
H5,918,2019,010221,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H5,918,2019,010229,      0.00,      0.00,      0.00,      0.00,41,1,0,0,1,42
H5,918,2019,010231,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010239,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H5,918,2019,010290,      0.00,      0.00,      0.00,      0.00,2,2,0,0,2,4
H5,918,2019,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H5,918,2019,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H5,918,2019,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H5,918,2019,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H5,918,2019,010511,,,,,4,0,0,0,0,4
H5,918,2019,010512,,,,,1,0,0,0,0,1
H5,918,2019,010513,,,,,1,0,0,0,0,1
H5,918,2019,010514,,,,,1,0,0,0,0,1
H5,918,2019,010515,,,,,1,0,0,0,0,1
H5,918,2019,010594,,,,,1,0,0,0,0,1
H5,918,2019,010599,,,,,4,0,0,0,0,4
H5,918,2019,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010613,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010614,      3.80,      0.00,      3.80,      1.90,0,1,0,1,2,2
H5,918,2019,010619,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010633,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010639,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H5,918,2019,010641,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,020110,,,,,6,0,0,0,0,6
H5,918,2019,020120,,,,,22,0,0,0,0,22
H5,918,2019,020130,,,,,5,0,0,0,0,5
H5,918,2019,020210,,,,,4,0,0,0,0,4
H5,918,2019,020220,,,,,22,0,0,0,0,22
H5,918,2019,020230,,,,,34,0,0,0,0,34
H5,918,2019,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H5,918,2019,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H5,918,2019,020319,      0.00,      0.00,      0.00,      0.00,9,1,0,0,1,10
H5,918,2019,020321,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H5,918,2019,020322,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H5,918,2019,020329,      0.00,      0.00,      0.00,      0.00,9,1,0,0,1,10
H5,918,2019,020410,,,,,2,0,0,0,0,2
H5,918,2019,020421,,,,,2,0,0,0,0,2
H5,918,2019,020422,,,,,8,0,0,0,0,8
H5,918,2019,020423,,,,,4,0,0,0,0,4
H5,918,2019,020430,,,,,2,0,0,0,0,2
H5,918,2019,020441,,,,,2,0,0,0,0,2
H5,918,2019,020442,,,,,8,0,0,0,0,8
H5,918,2019,020443,,,,,4,0,0,0,0,4
H5,918,2019,020450,,,,,14,0,0,0,0,14
H5,918,2019,020500,     10.20,      5.10,      5.10,      5.10,0,0,0,2,2,2
H5,918,2019,020610,      0.00,      0.00,      0.00,      0.00,4,2,0,0,2,6
H5,918,2019,020621,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,020622,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,020629,      0.00,      0.00,      0.00,      0.00,20,2,0,0,2,22
H5,918,2019,020630,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,918,2019,020641,      0.00,      0.00,      0.00,      0.00,0,2,0,0,2,2
H5,918,2019,020649,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,020680,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H5,918,2019,020690,      6.40,      0.00,      6.40,      2.13,0,2,0,1,3,3
H5,918,2019,020711,,,,,3,0,0,0,0,3
H5,918,2019,020712,,,,,2,0,0,0,0,2
H5,918,2019,020713,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H5,918,2019,020714,      6.40,      6.40,      6.40,      6.40,8,0,0,1,1,9
H5,918,2019,020724,,,,,2,0,0,0,0,2
H5,918,2019,020725,,,,,2,0,0,0,0,2
H5,918,2019,020726,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H5,918,2019,020727,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H5,918,2019,020741,,,,,3,0,0,0,0,3
H5,918,2019,020742,,,,,2,0,0,0,0,2
H5,918,2019,020743,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,020744,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H5,918,2019,020745,      6.40,      0.00,      6.40,      3.20,9,1,0,1,2,11
H5,918,2019,020751,,,,,2,0,0,0,0,2
H5,918,2019,020752,,,,,2,0,0,0,0,2
H5,918,2019,020753,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,020754,      6.40,      6.40,      6.40,      6.40,9,0,0,1,1,10
H5,918,2019,020755,      6.40,      0.00,      6.40,      3.20,9,1,0,1,2,11
H5,918,2019,020760,     12.80,      6.40,      6.40,      6.40,11,0,0,2,2,13
H5,918,2019,020810,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H5,918,2019,020830,      9.00,      9.00,      9.00,      9.00,0,0,0,1,1,1
H5,918,2019,020840,     21.80,      6.40,      9.00,      7.27,0,0,0,3,3,3
H5,918,2019,020850,      9.00,      9.00,      9.00,      9.00,0,0,0,1,1,1
H5,918,2019,020860,      9.00,      9.00,      9.00,      9.00,0,0,0,1,1,1
H5,918,2019,020890,     30.80,      0.00,      9.00,      6.16,0,1,0,4,5,5
H5,918,2019,020910,,,,,3,0,0,0,0,3
H5,918,2019,020990,,,,,1,0,0,0,0,1
H5,918,2019,021011,     15.40,     15.40,     15.40,     15.40,4,0,0,1,1,5
H5,918,2019,021012,     15.40,     15.40,     15.40,     15.40,2,0,0,1,1,3
H5,918,2019,021019,     15.40,     15.40,     15.40,     15.40,12,0,0,1,1,13
H5,918,2019,021020,,,,,6,0,0,0,0,6
H5,918,2019,021091,     15.40,     15.40,     15.40,     15.40,0,0,0,1,1,1
H5,918,2019,021092,     30.80,     15.40,     15.40,     15.40,2,0,0,2,2,4
H5,918,2019,021093,     15.40,     15.40,     15.40,     15.40,0,0,0,1,1,1
H5,918,2019,021099,     84.60,      0.00,     15.40,     10.57,10,1,0,7,8,18
H5,918,2019,030111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H5,918,2019,030119,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H5,918,2019,030191,     44.00,      8.00,     12.00,     11.00,0,0,0,4,4,4
H5,918,2019,030192,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H5,918,2019,030193,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,918,2019,030194,     32.00,     16.00,     16.00,     16.00,0,0,0,2,2,2
H5,918,2019,030195,     16.00,     16.00,     16.00,     16.00,0,0,0,1,1,1
H5,918,2019,030199,    172.00,      2.00,     16.00,     13.23,0,0,0,13,13,13
H5,918,2019,030211,     56.00,      8.00,     12.00,     11.20,0,0,0,5,5,5
H5,918,2019,030213,      2.00,      2.00,      2.00,      2.00,0,0,0,1,1,1
H5,918,2019,030214,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H5,918,2019,030219,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H5,918,2019,030221,     31.00,      8.00,     15.00,     10.33,0,0,0,3,3,3
H5,918,2019,030222,      7.50,      7.50,      7.50,      7.50,0,0,0,1,1,1
H5,918,2019,030223,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,918,2019,030224,     15.00,     15.00,     15.00,     15.00,0,0,0,1,1,1
H5,918,2019,030229,     30.00,     15.00,     15.00,     15.00,0,0,0,2,2,2
