NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H1,918,1997,010111,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,1997,010119,     18.50,      2.70,     15.80,      9.25,0,0,0,2,2,2
H1,918,1997,010120,     25.60,     10.60,     15.00,     12.80,0,0,0,2,2,2
H1,918,1997,010210,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H1,918,1997,010290,      0.00,      0.00,      0.00,      0.00,42,1,0,0,1,43
H1,918,1997,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H1,918,1997,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H1,918,1997,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,1997,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H1,918,1997,010420,      4.40,      4.40,      4.40,      4.40,1,0,0,1,1,2
H1,918,1997,010511,,,,,4,0,0,0,0,4
H1,918,1997,010512,,,,,1,0,0,0,0,1
H1,918,1997,010519,,,,,2,0,0,0,0,2
H1,918,1997,010592,,,,,1,0,0,0,0,1
H1,918,1997,010593,,,,,1,0,0,0,0,1
H1,918,1997,010599,,,,,4,0,0,0,0,4
H1,918,1997,010600,     14.10,      0.00,      8.80,      4.70,0,1,0,2,3,3
H1,918,1997,020110,,,,,3,0,0,0,0,3
H1,918,1997,020120,,,,,11,0,0,0,0,11
H1,918,1997,020130,,,,,2,0,0,0,0,2
H1,918,1997,020210,,,,,2,0,0,0,0,2
H1,918,1997,020220,,,,,9,0,0,0,0,9
H1,918,1997,020230,,,,,10,0,0,0,0,10
H1,918,1997,020311,      2.00,      2.00,      2.00,      2.00,1,0,0,1,1,2
H1,918,1997,020312,      2.00,      2.00,      2.00,      2.00,2,0,0,1,1,3
H1,918,1997,020319,      2.00,      2.00,      2.00,      2.00,9,0,0,1,1,10
H1,918,1997,020321,      2.00,      2.00,      2.00,      2.00,1,0,0,1,1,2
H1,918,1997,020322,      2.00,      2.00,      2.00,      2.00,2,0,0,1,1,3
H1,918,1997,020329,      2.00,      2.00,      2.00,      2.00,9,0,0,1,1,10
H1,918,1997,020410,,,,,2,0,0,0,0,2
H1,918,1997,020421,,,,,2,0,0,0,0,2
H1,918,1997,020422,,,,,8,0,0,0,0,8
H1,918,1997,020423,,,,,2,0,0,0,0,2
H1,918,1997,020430,,,,,2,0,0,0,0,2
H1,918,1997,020441,,,,,2,0,0,0,0,2
H1,918,1997,020442,,,,,8,0,0,0,0,8
H1,918,1997,020443,,,,,4,0,0,0,0,4
H1,918,1997,020450,,,,,12,0,0,0,0,12
H1,918,1997,020500,     21.00,      7.00,      7.00,      7.00,0,0,0,3,3,3
H1,918,1997,020610,      7.40,      0.00,      4.70,      2.47,2,1,0,2,3,5
H1,918,1997,020621,      2.70,      2.70,      2.70,      2.70,0,0,0,1,1,1
H1,918,1997,020622,      4.70,      0.00,      4.70,      2.35,0,1,0,1,2,2
H1,918,1997,020629,      2.70,      0.00,      2.70,      1.35,8,1,0,1,2,10
H1,918,1997,020630,      9.40,      0.00,      4.70,      2.35,0,1,0,3,4,4
H1,918,1997,020641,      6.70,      0.00,      4.70,      2.23,0,1,0,2,3,3
H1,918,1997,020649,      4.70,      0.00,      2.70,      1.57,0,1,0,2,3,3
H1,918,1997,020680,     10.80,      0.00,      8.80,      3.60,0,1,0,2,3,3
H1,918,1997,020690,     10.80,      0.00,      8.80,      3.60,0,1,0,2,3,3
H1,918,1997,020711,,,,,3,0,0,0,0,3
H1,918,1997,020712,,,,,2,0,0,0,0,2
H1,918,1997,020713,      8.80,      8.80,      8.80,      8.80,8,0,0,1,1,9
H1,918,1997,020714,      8.80,      8.80,      8.80,      8.80,8,0,0,1,1,9
H1,918,1997,020724,,,,,2,0,0,0,0,2
H1,918,1997,020725,,,,,2,0,0,0,0,2
H1,918,1997,020726,      8.80,      8.80,      8.80,      8.80,9,0,0,1,1,10
H1,918,1997,020727,      8.80,      8.80,      8.80,      8.80,9,0,0,1,1,10
H1,918,1997,020732,,,,,6,0,0,0,0,6
H1,918,1997,020733,,,,,5,0,0,0,0,5
H1,918,1997,020734,      4.00,      2.00,      2.00,      2.00,0,0,0,2,2,2
H1,918,1997,020735,      8.80,      8.80,      8.80,      8.80,21,0,0,1,1,22
H1,918,1997,020736,     12.80,      2.00,      8.80,      4.27,21,0,0,3,3,24
H1,918,1997,020810,     19.60,      2.00,      8.80,      6.53,0,0,0,3,3,3
H1,918,1997,020820,      8.80,      8.80,      8.80,      8.80,0,0,0,1,1,1
H1,918,1997,020890,     55.00,      2.00,     12.30,      7.86,0,0,0,7,7,7
H1,918,1997,020900,,,,,4,0,0,0,0,4
H1,918,1997,021011,     21.10,     21.10,     21.10,     21.10,5,0,0,1,1,6
H1,918,1997,021012,     21.10,     21.10,     21.10,     21.10,3,0,0,1,1,4
H1,918,1997,021019,     21.10,     21.10,     21.10,     21.10,11,0,0,1,1,12
H1,918,1997,021020,,,,,2,0,0,0,0,2
H1,918,1997,021090,    184.90,      2.00,     21.10,     16.81,13,0,0,11,11,24
H1,918,1997,030110,     10.50,      0.00,     10.50,      5.25,0,1,0,1,2,2
H1,918,1997,030191,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H1,918,1997,030192,      2.40,      1.20,      1.20,      1.20,0,0,0,2,2,2
H1,918,1997,030193,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
H1,918,1997,030199,    128.00,      2.00,     16.00,      9.85,0,0,0,13,13,13
H1,918,1997,030211,     32.00,      8.00,     12.00,     10.67,0,0,0,3,3,3
H1,918,1997,030212,      6.00,      2.00,      2.00,      2.00,0,0,0,3,3,3
H1,918,1997,030219,      8.00,      8.00,      8.00,      8.00,0,0,0,1,1,1
